prefecture_num,prefecture,year,month,bankruptcy
45,宮崎県,2014,6,6
46,鹿児島県,2014,6,7
47,沖縄県,2014,6,5
1,北海道,2014,7,24
2,青森県,2014,7,6
3,岩手県,2014,7,5
4,宮城県,2014,7,6
5,秋田県,2014,7,4
6,山形県,2014,7,6
7,福島県,2014,7,4
8,茨城県,2014,7,21
9,栃木県,2014,7,11
10,群馬県,2014,7,15
11,埼玉県,2014,7,39
12,千葉県,2014,7,28
13,東京都,2014,7,177
14,神奈川県,2014,7,65
15,新潟県,2014,7,10
19,山梨県,2014,7,8
20,長野県,2014,7,10
21,岐阜県,2014,7,22
22,静岡県,2014,7,28
23,愛知県,2014,7,38
24,三重県,2014,7,7
16,富山県,2014,7,9
17,石川県,2014,7,9
18,福井県,2014,7,4
25,滋賀県,2014,7,13
26,京都府,2014,7,28
27,大阪府,2014,7,115
28,兵庫県,2014,7,46
29,奈良県,2014,7,8
30,和歌山県,2014,7,8
31,鳥取県,2014,7,2
32,島根県,2014,7,6
33,岡山県,2014,7,6
34,広島県,2014,7,24
35,山口県,2014,7,8
36,徳島県,2014,7,2
37,香川県,2014,7,7
38,愛媛県,2014,7,6
39,高知県,2014,7,3
40,福岡県,2014,7,23
41,佐賀県,2014,7,2
42,長崎県,2014,7,2
43,熊本県,2014,7,6
44,大分県,2014,7,1
45,宮崎県,2014,7,1
46,鹿児島県,2014,7,5
47,沖縄県,2014,7,4
1,北海道,2014,8,28
2,青森県,2014,8,3
3,岩手県,2014,8,4
4,宮城県,2014,8,8
5,秋田県,2014,8,6
6,山形県,2014,8,2
7,福島県,2014,8,2
8,茨城県,2014,8,9
9,栃木県,2014,8,12
10,群馬県,2014,8,11
11,埼玉県,2014,8,34
12,千葉県,2014,8,16
13,東京都,2014,8,157
14,神奈川県,2014,8,55
15,新潟県,2014,8,9
19,山梨県,2014,8,6
20,長野県,2014,8,7
21,岐阜県,2014,8,11
22,静岡県,2014,8,25
23,愛知県,2014,8,37
24,三重県,2014,8,4
16,富山県,2014,8,7
17,石川県,2014,8,7
18,福井県,2014,8,4
25,滋賀県,2014,8,10
26,京都府,2014,8,18
27,大阪府,2014,8,90
28,兵庫県,2014,8,33
29,奈良県,2014,8,6
30,和歌山県,2014,8,10
31,鳥取県,2014,8,3
32,島根県,2014,8,6
33,岡山県,2014,8,4
34,広島県,2014,8,11
35,山口県,2014,8,2
36,徳島県,2014,8,1
37,香川県,2014,8,3
38,愛媛県,2014,8,8
39,高知県,2014,8,3
40,福岡県,2014,8,20
41,佐賀県,2014,8,2
42,長崎県,2014,8,8
43,熊本県,2014,8,5
44,大分県,2014,8,4
45,宮崎県,2014,8,3
46,鹿児島県,2014,8,6
47,沖縄県,2014,8,7
1,北海道,2014,9,21
2,青森県,2014,9,6
3,岩手県,2014,9,3
4,宮城県,2014,9,6
5,秋田県,2014,9,6
6,山形県,2014,9,6
7,福島県,2014,9,4
8,茨城県,2014,9,12
9,栃木県,2014,9,11
10,群馬県,2014,9,7
11,埼玉県,2014,9,41
12,千葉県,2014,9,20
13,東京都,2014,9,165
14,神奈川県,2014,9,41
15,新潟県,2014,9,6
19,山梨県,2014,9,2
20,長野県,2014,9,12
21,岐阜県,2014,9,10
22,静岡県,2014,9,31
23,愛知県,2014,9,48
24,三重県,2014,9,9
16,富山県,2014,9,3
17,石川県,2014,9,8
18,福井県,2014,9,5
25,滋賀県,2014,9,10
26,京都府,2014,9,22
27,大阪府,2014,9,140
28,兵庫県,2014,9,49
29,奈良県,2014,9,12
30,和歌山県,2014,9,6
31,鳥取県,2014,9,1
32,島根県,2014,9,2
33,岡山県,2014,9,5
34,広島県,2014,9,19
35,山口県,2014,9,9
36,徳島県,2014,9,2
37,香川県,2014,9,5
38,愛媛県,2014,9,4
39,高知県,2014,9,4
40,福岡県,2014,9,25
41,佐賀県,2014,9,3
42,長崎県,2014,9,4
43,熊本県,2014,9,5
44,大分県,2014,9,0
45,宮崎県,2014,9,2
46,鹿児島県,2014,9,8
47,沖縄県,2014,9,7
1,北海道,2014,10,22
2,青森県,2014,10,5
3,岩手県,2014,10,2
4,宮城県,2014,10,12
5,秋田県,2014,10,3
6,山形県,2014,10,2
7,福島県,2014,10,2
8,茨城県,2014,10,14
9,栃木県,2014,10,14
10,群馬県,2014,10,9
11,埼玉県,2014,10,28
12,千葉県,2014,10,19
13,東京都,2014,10,124
14,神奈川県,2014,10,49
15,新潟県,2014,10,2
19,山梨県,2014,10,3
20,長野県,2014,10,11
21,岐阜県,2014,10,11
22,静岡県,2014,10,30
23,愛知県,2014,10,50
24,三重県,2014,10,11
16,富山県,2014,10,6
17,石川県,2014,10,8
18,福井県,2014,10,6
25,滋賀県,2014,10,11
26,京都府,2014,10,32
