ダウンロードした時刻：2021/05/19 13:45:31,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
16-Jul,2016,7,18,26.4,31,22.8,35.5,20.4,104.5,0,25.5,0,39.5,0,187.9,0,42,0,72,1007.9
16-Aug,2016,8,18,27.5,32.3,24,36.2,20.3,148,0,22,0,40,0,239.3,0,57,0,71,1003.1
16-Sep,2016,9,18,23.9,27.9,20.8,34.5,15.5,274,0,16,0,66,0,100.6,0,27,0,78,1011
16-Oct,2016,10,18,18,23,13.8,29.9,6.6,162,0,28.5,0,44.5,0,145.1,0,42,0,72,1016.3
16-Nov,2016,11,18,11,15.7,7.2,22.3,2.2,159,0,13.5,0,31.5,0,123.4,0,40,0,74,1018.6
16-Dec,2016,12,18,7.3,11.7,3.7,21.2,-0.9,235,0,7,0,28.5,0,93.6,0,31,0,73,1019.1
17-Jan,2017,1,18,3.7,7.7,0.4,13,-2.5,233.5,0,10,0,33.5,0,83.5,0,27,0,71,1017.4
17-Feb,2017,2,18,3.6,7.8,0.4,14,-1.9,204,0,8.5,0,25,0,81.7,0,27,0,71,1016.5
17-Mar,2017,3,18,6.7,12,2.2,18.3,-1,111.5,0,5.5,0,23.5,0,150.6,0,41,0,64,1015.2
17-Apr,2017,4,18,13.7,19.4,8.4,28,0.7,156,0,12,0,50.5,0,187.5,0,48,0,66,1011.7
17-May,2017,5,18,19.1,24.8,14,32.4,7.3,60.5,0,8,0,17.5,0,222.1,0,51,0,66,1011
17-Jun,2017,6,18,20.7,25.9,16.3,32.2,11.4,92.5,0,12.5,0,39.5,0,207.8,0,48,0,71,1007.5
17-Jul,2017,7,18,27.5,32,24.1,35.5,19,237.5,0,26,0,58,0,171.2,0,39,0,76,1007.4
17-Aug,2017,8,18,27.3,31.7,23.8,36.9,20,213,0,34.5,0,84.5,0,188.3,0,45,0,76,1005.5
17-Sep,2017,9,18,21.9,27.1,17.9,30.7,11.9,222.5,0,22.5,0,45,0,174.9,0,47,0,78,1010.1
17-Oct,2017,10,18,16.8,21,13.5,28.7,6.9,317.5,0,12,0,109.5,0,105.8,0,30,0,82,1016.7
