ダウンロードした時刻：2021/05/19 13:39:12,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
15-Sep,2015,9,4,20.5,24.4,17.2,32.3,13.8,441,0,50,0,163.5,0,136.6,0,37,0,76,1008.3
15-Oct,2015,10,4,15.5,20.4,11,26.5,5.8,8,0,3,0,5.5,0,215.8,0,62,0,60,1010.3
15-Nov,2015,11,4,10.7,14.7,7.2,20.8,0.8,144.5,0,6.5,0,40.5,0,130,0,43,0,73,1016.7
15-Dec,2015,12,4,5.9,9.5,2.5,14,-1.1,45,0,6,0,24.5,0,153.8,0,52,0,66,1013.9
16-Jan,2016,1,4,2.4,6.2,-0.8,12.7,-3.6,67.5,0,6,0,53.5,0,126.6,0,42,0,65,1010.8
16-Feb,2016,2,4,3.5,8.1,-0.4,20.9,-3.9,17.5,0,4,0,17,0,157.7,0,51,0,60,1013.3
16-Mar,2016,3,4,7,11.7,2.9,18,-1.9,8.5,0,2.5,0,3,0,193,0,52,0,56,1013.8
16-Apr,2016,4,4,11.9,16.5,7.7,23.2,2.2,180,0,13,0,66,0,192.3,0,49,0,61,1008.6
16-May,2016,5,4,17,21.8,13.2,31.7,9.1,87.5,0,5.5,0,27,0,208.1,0,47,0,68,1008.4
16-Jun,2016,6,4,19.8,23.8,16.8,30.1,10.9,157.5,0,10,0,56,0,151.9,0,34,0,75,1004.8
16-Jul,2016,7,4,23,26.6,20.3,31.2,17.4,56,0,7.5,0,20,0,130.5,0,29,0,80,1005.6
16-Aug,2016,8,4,25.7,29.9,22.5,35.3,19.2,226.5,0,22,0,66,0,180.3,0,43,0,78,1001.1
16-Sep,2016,9,4,22.1,25.4,19.7,33,12.4,314,0,36.5,0,131,0,92.2,0,25,0,82,1009.4
16-Oct,2016,10,4,15.7,20.4,11.2,28.1,4.7,26.5,0,3.5,0,8.5,0,178.3,0,51,0,63,1012.6
16-Nov,2016,11,4,8.6,12.7,4.8,21.2,-1.6,36,0,4,0,21.5,0,141.6,0,47,0,62,1014.2
16-Dec,2016,12,4,5.7,10,1.9,17.9,-1.9,31.5,0,4,0,20.5,0,143.2,0,49,0,64,1012.2
17-Jan,2017,1,4,2.5,6.2,-0.7,12.6,-5.5,18,0,1.5,0,6.5,0,160.7,0,53,0,64,1009.6
17-Feb,2017,2,4,3.2,7.3,-0.2,17.2,-3.7,15,0,2,0,3,0,157.7,0,53,0,58,1008.1
17-Mar,2017,3,4,5.4,9.6,1.6,15.5,-1.1,77.5,0,8,0,41,0,173.4,0,47,0,60,1009.5
17-Apr,2017,4,4,11.5,16.7,6.9,25.5,1.4,101,0,9.5,0,40.5,0,200.9,0,51,0,58,1007.5
17-May,2017,5,4,17,21.6,12.9,29.6,7.2,137,0,8.5,0,72.5,0,211.4,0,48,0,69,1007.4
17-Jun,2017,6,4,18.6,22.9,15.2,27.5,10.5,80.5,0,15.5,0,31.5,0,179.7,0,41,0,73,1003.8
17-Jul,2017,7,4,25.1,29.3,22.1,33,19.1,182,0,14.5,0,42.5,0,181.8,0,40,0,79,1003.8
17-Aug,2017,8,4,23,25.9,20.8,32.6,17,219,0,13.5,0,37,0,57.1,0,14,0,87,1003.8
17-Sep,2017,9,4,21.1,25.7,17,29.7,10.7,135.5,0,18,0,43,0,184.7,0,50,0,73,1006.9
17-Oct,2017,10,4,14.9,18.4,11.8,26.8,7.4,340.5,0,33,0,132.5,0,96.8,0,28,0,78,1014.1
17-Nov,2017,11,4,9.1,13.3,5.1,20.2,-0.5,7.5,0,2,0,2.5,0,149.9,0,50,0,68,1012.2
17-Dec,2017,12,4,3.5,7.4,0.1,13.9,-3.1,7,0,1,0,2.5,0,155.4,0,53,0,68,1010.4
18-Jan,2018,1,4,1.4,5,-2.2,12.2,-6.7,50,0,4,0,27,0,158.4,0,52,0,67,1008.5
18-Feb,2018,2,4,1.4,5.8,-2.2,11.4,-6,25.5,0,3.5,0,12,0,195.2,0,65,0,65,1011.4
18-Mar,2018,3,4,7.5,12.7,2.4,22.2,-2,126.5,0,12.5,0,33.5,0,210.5,0,57,0,60,1012.4
18-Apr,2018,4,4,12.5,17.6,8,29.9,3.8,37,0,3,0,17.5,0,183.8,0,47,0,65,1009.2
18-May,2018,5,4,17,22.1,12.5,30.7,5.6,102.5,0,5.5,0,29,0,183.6,0,42,0,70,1006.4
18-Jun,2018,6,4,20.3,24.6,16.8,32.2,11.5,100.5,0,11.5,0,50,0,173.2,0,39,0,77,1004.6
18-Jul,2018,7,4,25.5,29.7,22.5,36.7,16.5,58.5,0,4.5,0,19.5,0,163.1,0,36,0,81,1005.8
18-Aug,2018,8,4,24.9,29,21.8,37.3,15.7,272.5,0,21,0,70,0,161.8,0,38,0,81,1004.3
18-Sep,2018,9,4,20.8,24.6,17.8,32.1,12.9,188.5,0,21.5,0,34,0,101.6,0,27,0,82,1009.2
18-Oct,2018,10,4,16.5,20.8,12.8,29.3,8,68,0,9,0,17,0,157.5,0,45,0,72,1011.2
18-Nov,2018,11,4,10.7,15.2,6.8,19.4,2.3,23.5,0,9.5,0,20,0,159.5,0,53,0,71,1015.2
18-Dec,2018,12,4,4.3,8.5,0.8,17.2,-3.3,29,0,4.5,0,11,0,150.2,0,51,0,71,1013.2
19-Jan,2019,1,4,2.4,6.2,-0.9,10.1,-3.6,4,0,1,0,2,0,171.5,0,57,0,64,1010.4
19-Feb,2019,2,4,3.7,8,-0.1,16.8,-3.4,13,0,2,0,5,0,161.8,0,54,0,60,1012.7
19-Mar,2019,3,4,7,12,2.5,17.8,-1,83,0,10.5,0,32.5,0,205.4,0,56,0,59,1007.8
19-Apr,2019,4,4,10.2,15.4,5.6,22.4,-1,90.5,0,5.5,0,20.5,0,211.2,0,54,0,62,1008
19-May,2019,5,4,17.4,22.8,12.6,32.1,6.5,81,0,7,0,37.5,0,294,0,67,0,64,1008
19-Jun,2019,6,4,19,22.8,15.9,27.7,11.7,168.5,0,10,0,46.5,0,156.4,0,35,0,82,1003.2
19-Jul,2019,7,4,22.4,25.9,20,36.1,16,111.5,0,9,0,29,0,102.7,0,23,0,85,1005.4
19-Aug,2019,8,4,26.2,30,23.4,35.1,20.7,88.5,0,7.5,0,21.5,0,144.3,0,34,0,82,1004.1
19-Sep,2019,9,4,22.4,26.6,19,33.9,14.1,72.5,0,18,0,22,0,154.7,0,42,0,76,1010.9
19-Oct,2019,10,4,16.9,20.7,13.3,28.9,6.7,644.5,0,63.5,0,303.5,0,135.2,0,39,0,77,1012.2
19-Nov,2019,11,4,10,14.7,5.7,21.4,-1.6,5.5,0,1.5,0,5.5,0,162.7,0,54,0,65,1013.3
19-Dec,2019,12,4,5.4,9.8,1.6,16.2,-1.9,27,0,2.5,0,10.5,0,156.1,0,53,0,69,1014.2
20-Jan,2020,1,4,4,7.5,0.8,11.2,-1.8,126.5,0,8.5,0,86,0,134,0,44,0,69,1011.9
20-Feb,2020,2,4,4.4,8.6,0.9,15.1,-4.7,19.5,0,2,0,6.5,0,140.3,0,45,0,67,1013.3
20-Mar,2020,3,4,7.5,11.9,3.5,18.5,0.1,45.5,0,6.5,0,20.5,0,183.5,0,50,0,64,1008.7
20-Apr,2020,4,4,10.1,14.6,6.1,21.5,2.2,153.5,0,10,0,56,0,206.8,0,53,0,64,1008
20-May,2020,5,4,16.8,22,12.7,30.8,6.9,105.5,0,8,0,67.5,0,190.4,0,43,0,71,1006.4
20-Jun,2020,6,4,21.2,25.7,17.8,32,14.6,43.5,0,4,0,14,0,179.4,0,41,0,77,1002.8
20-Jul,2020,7,4,21.3,24.3,19.3,30.2,15.7,397.5,0,27,0,91.5,0,49.5,0,11,0,92,1004.5
20-Aug,2020,8,4,26.6,30.9,23.5,35.5,19.8,72.5,0,23,0,27,0,207.4,0,49,0,81,1006.3
20-Sep,2020,9,4,22.5,26.2,19.8,34,14.4,191.5,0,14,0,69,0,91.9,0,25,0,82,1008.6
20-Oct,2020,10,4,15.6,19.3,12.2,24.3,6.9,63,0,4.5,0,17.5,0,125.8,0,36,0,74,1012.8
20-Nov,2020,11,4,10.8,15.6,6.4,22.8,0.9,7,0,1.5,0,3.5,0,166.4,0,55,0,68,1014.8
20-Dec,2020,12,4,3.9,7.5,0.5,14.4,-3.6,21.5,0,2.5,0,7.5,0,121.8,0,41,0,74,1011.3
21-Jan,2021,1,4,1.2,4.8,-2.3,12.9,-7.6,9.5,0,2.5,0,4,0,143.7,0,47,0,72,1012.1
21-Feb,2021,2,4,3.7,8.6,-0.5,19.3,-4.7,74.5,0,14.5,0,63,0,175.6,0,59,0,64,1008.7
21-Mar,2021,3,4,8.6,13.4,4,22,-1.4,107.5,0,10,0,69.5,0,193.8,0,53,0,61,1012.5
21-Apr,2021,4,4,11.6,16.6,6.9,23,1.5,92.5,0,8,0,32.5,0,228.2,0,58,0,59,1012.7
21-May,2021,5,4,,,,,,,0,,0,,0,,0,,0,,
