ダウンロードした時刻：2021/05/19 13:56:20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
20-Apr,2020,4,40,14.1,18.4,10.4,25.7,6.1,83,0,8,0,36,0,231.7,0,60,0,59,1015.1
20-May,2020,5,40,20.4,24.7,16.9,29,13.3,147.5,0,14,0,51,0,217.5,0,51,0,71,1009.3
20-Jun,2020,6,40,24.9,29.2,21.8,33.8,17.5,374.5,0,43,0,118.5,0,184.9,0,43,0,76,1005.4
20-Jul,2020,7,40,25.5,28.9,23.2,34.6,19.8,740,0,47.5,0,167,0,86.5,0,20,0,82,1006.2
20-Aug,2020,8,40,30.2,34.5,27,38,25.2,49,0,17,0,43,0,252.2,0,61,0,70,1008.9
20-Sep,2020,9,40,24.5,28.4,21.4,37.1,16.2,310.5,0,22,0,82.5,0,168.2,0,45,0,74,1008.7
20-Oct,2020,10,40,19.4,23.6,15.8,28.4,10.2,64.5,0,6,0,42,0,211,0,60,0,67,1016.2
20-Nov,2020,11,40,15.3,19.5,11.7,26,7.2,25,0,3,0,14,0,150.1,0,48,0,66,1021.1
20-Dec,2020,12,40,8.5,12.3,5.2,16.7,1,42.5,0,5.5,0,15.5,0,131.2,0,43,0,61,1021.9
21-Jan,2021,1,40,7,10.6,3.8,20.1,-2.2,45.5,0,4,0,15,0,118.5,0,38,0,66,1020.8
21-Feb,2021,2,40,10.2,14.7,6.3,23.7,-0.6,79.5,0,9,0,24,0,173.7,0,57,0,62,1018.3
21-Mar,2021,3,40,13.5,18.3,9.7,25.2,5.8,116.5,0,15,0,33,0,186.6,0,51,0,69,1016.8
21-Apr,2021,4,40,16.7,21.7,12.6,29.1,7.9,66,0,9,0,36,0,214.5,0,55,0,60,1016
21-May,2021,5,40,,,,,,,0,,0,,0,,0,,0,,
