ダウンロードした時刻：2021/05/19 13:59:02,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
15-Aug,2015,8,46,27.9,31.8,25.1,36.1,22.2,385.5,0,29.5,0,83,0,205.1,0,50,0,78,1004.6
15-Sep,2015,9,46,25.1,29.2,22.1,32.1,18.6,227,0,40,0,69,0,156,0,42,0,76,1007.3
15-Oct,2015,10,46,20.8,26.1,16.1,31,12.3,48.5,0,15.5,0,25,0,241,0,68,0,65,1013.2
15-Nov,2015,11,46,18.3,21.8,15.3,26,6.3,183,0,24.5,0,74.5,0,120.1,0,38,0,78,1016.7
15-Dec,2015,12,46,12.6,16.9,8.9,21.9,1.5,215,0,53.5,0,126.5,0,144.3,0,46,0,71,1018.5
16-Jan,2016,1,46,9,13,5.4,19.8,-5.3,159,0,13,0,85.5,0,87.6,0,27,0,77,1017.6
16-Feb,2016,2,46,9.6,14.4,5.5,21.4,1.2,115,0,16.5,0,55.5,0,142.8,0,45,0,65,1019
16-Mar,2016,3,46,13.3,18.2,9.2,24,1.8,222,0,20.5,0,87.5,0,198.8,0,54,0,67,1015.8
16-Apr,2016,4,46,18.4,22.4,15,28.2,9,302.5,0,33,0,74.5,0,120.5,0,31,0,77,1009.9
16-May,2016,5,46,21.8,26.1,18.2,30.2,12.5,342.5,0,29.5,0,88.5,0,174.6,0,41,0,76,1009
16-Jun,2016,6,46,24.7,27.9,21.9,32.6,16.6,774,0,49.5,0,172.5,0,98,0,23,0,84,1005.3
16-Jul,2016,7,46,28.6,32.5,25.6,34.9,23,493.5,0,30,0,162.5,0,218.6,0,51,0,79,1006.4
16-Aug,2016,8,46,29.8,34.4,26.6,37.4,20.5,77.5,0,33,0,43,0,258.1,0,63,0,72,1001.2
16-Sep,2016,9,46,27.3,31,24.6,34.1,21.5,340.5,0,68.5,0,102,0,167,0,45,0,79,1007
16-Oct,2016,10,46,23.8,27.1,21.1,32.4,14.7,248.5,0,14,0,102.5,0,126.5,0,36,0,77,1012
16-Nov,2016,11,46,16.7,21,12.9,27.1,4.3,124,0,10.5,0,35,0,173.2,0,55,0,74,1015.8
16-Dec,2016,12,46,12.6,17.5,8.3,22.3,2.5,86.5,0,20,0,46.5,0,180,0,58,0,71,1018.3
17-Jan,2017,1,46,9,14,4.8,20.4,-0.3,34,0,3,0,8.5,0,157.1,0,49,0,67,1018.1
17-Feb,2017,2,46,9.2,14.9,4.6,22.4,0.6,83.5,0,10.5,0,19,0,175.7,0,57,0,64,1017.3
17-Mar,2017,3,46,11.6,16.2,7.8,21.5,3.5,139.5,0,7,0,21,0,160.3,0,43,0,69,1013.8
17-Apr,2017,4,46,17.5,22,13.7,26.5,5.8,396,0,50.5,0,103.5,0,170,0,44,0,73,1010.2
17-May,2017,5,46,21.1,25.9,17.1,29.5,13.6,158,0,31,0,74.5,0,215.6,0,51,0,71,1009.5
17-Jun,2017,6,46,23.3,27.3,20.3,31.5,16.8,476.5,0,32,0,142,0,138.8,0,33,0,79,1005.3
17-Jul,2017,7,46,29.2,33.5,26.5,35.7,23.8,229,0,55.5,0,75.5,0,199.3,0,46,0,81,1006.6
17-Aug,2017,8,46,29.7,33.8,26.7,36,24.1,139,0,25.5,0,48.5,0,230.3,0,56,0,77,1003
17-Sep,2017,9,46,25.7,29.4,22.7,34.6,17.7,337.5,0,37.5,0,129.5,0,148.7,0,40,0,77,1007
17-Oct,2017,10,46,22.4,26,19.4,31.3,12.1,141.5,0,15,0,28.5,0,142.9,0,40,0,74,1011.5
17-Nov,2017,11,46,15.3,19.3,11.5,25.6,4.1,110.5,0,10,0,19.5,0,143.5,0,45,0,75,1016.7
17-Dec,2017,12,46,8.7,13,4.6,18.9,1.6,29,0,6,0,20,0,145,0,46,0,64,1019.1
18-Jan,2018,1,46,7.6,12.2,3.7,20.1,-1.2,96,0,13,0,32.5,0,144.1,0,45,0,67,1016.9
18-Feb,2018,2,46,8.2,12.8,4.2,17.7,-1.3,97.5,0,15,0,25.5,0,139.7,0,45,0,68,1017.1
18-Mar,2018,3,46,14.5,19.7,10,25.9,3.1,158.5,0,13,0,46,0,180.5,0,49,0,70,1014.2
18-Apr,2018,4,46,18.5,23.7,13.9,28.5,7.8,121.5,0,13.5,0,43.5,0,227.7,0,59,0,69,1012.5
18-May,2018,5,46,21.7,25.7,18.2,30.3,10.2,342.5,0,29.5,0,100.5,0,160.8,0,38,0,76,1008.4
18-Jun,2018,6,46,24.7,28.4,22,33.2,17.4,339.5,0,23,0,86.5,0,123.3,0,29,0,80,1004.5
18-Jul,2018,7,46,28.6,32.4,25.9,35.7,23.8,436.5,0,37,0,138.5,0,200.6,0,46,0,78,1004.4
18-Aug,2018,8,46,29.6,33.6,26.9,36.3,25,46,0,22,0,23.5,0,235.2,0,57,0,74,1003.8
18-Sep,2018,9,46,26.4,30.3,23.6,33.7,19.1,368.5,0,26,0,113.5,0,152.7,0,41,0,78,1007.1
18-Oct,2018,10,46,20.1,24.8,16.2,29.5,11.4,53.5,0,9,0,21,0,194.5,0,55,0,70,1012.8
18-Nov,2018,11,46,16,20.7,11.7,25.2,6.4,92,0,13,0,27.5,0,188.4,0,60,0,72,1016.8
18-Dec,2018,12,46,12.2,15.8,8.8,24.5,1.9,245,0,46,0,133,0,103.7,0,33,0,69,1018.8
19-Jan,2019,1,46,9.6,14.6,5.5,19.4,0.6,34.5,0,7,0,14,0,155.7,0,49,0,66,1018.7
19-Feb,2019,2,46,11.3,15.5,7.7,20.1,2.1,158,0,15,0,49,0,105.6,0,34,0,72,1016.6
19-Mar,2019,3,46,13.6,18.3,9.7,23.2,5.2,169,0,17.5,0,35,0,185.6,0,50,0,66,1012.5
19-Apr,2019,4,46,17.5,22.5,13.5,27.9,6.6,130,0,29,0,49,0,198,0,51,0,69,1010.5
19-May,2019,5,46,21.3,26.2,17.1,30.7,13.5,132.5,0,6,0,43,0,195.9,0,46,0,68,1008.6
19-Jun,2019,6,46,24,27.5,21.3,30.3,18.8,253.5,0,20,0,76.5,0,125.3,0,30,0,79,1003.3
19-Jul,2019,7,46,27.2,30.6,24.7,34.7,21.4,1005.5,0,39.5,0,375,0,138.7,0,32,0,84,1004
19-Aug,2019,8,46,28.8,32.1,26.3,35,21.2,186,0,26,0,37.5,0,161.4,0,39,0,77,1003.4
19-Sep,2019,9,46,27.8,31.7,25.1,33.8,20.6,86.5,0,11,0,27.5,0,203.2,0,55,0,75,1008.3
19-Oct,2019,10,46,23,27.1,19.9,31.5,14.2,100.5,0,16,0,30,0,177.3,0,50,0,72,1011.2
19-Nov,2019,11,46,17,21.9,13,26.1,7.7,73.5,0,29,0,42.5,0,195.6,0,62,0,69,1015.8
19-Dec,2019,12,46,12.1,16.2,8.2,22.1,2.9,140.5,0,22,0,32.5,0,128.9,0,41,0,72,1018.5
20-Jan,2020,1,46,11.1,15.6,7.5,21.7,0.9,86.5,0,9.5,0,20.5,0,125.4,0,39,0,73,1015.9
20-Feb,2020,2,46,11.4,16.2,7,22.1,1.2,160.5,0,23,0,48,0,159.6,0,50,0,71,1019
20-Mar,2020,3,46,14,18.5,10.1,24.4,4,138,0,10,0,25,0,163.6,0,44,0,71,1012.7
20-Apr,2020,4,46,15.7,21.1,11.1,23.9,7.2,110.5,0,23.5,0,49.5,0,233.3,0,60,0,63,1012.8
20-May,2020,5,46,21.7,26.2,18.4,29.9,13.4,268.5,0,26,0,103.5,0,177.5,0,42,0,74,1007.4
20-Jun,2020,6,46,25,28.5,22.3,34.4,19,795.5,0,40,0,131,0,116.5,0,28,0,83,1004.4
20-Jul,2020,7,46,26.8,30.4,24.2,35.5,19.5,713,0,51.5,0,140.5,0,123.8,0,29,0,84,1005.6
20-Aug,2020,8,46,29.8,34.2,26.7,37,24.5,167,0,23,0,66,0,265.4,0,65,0,77,1007.5
20-Sep,2020,9,46,25.6,29.1,22.5,32.8,16.8,337.5,0,19,0,78.5,0,115.6,0,31,0,77,1005.9
20-Oct,2020,10,46,21.4,26,17.4,31.3,11.1,75.5,0,12,0,25.5,0,219.4,0,62,0,67,1012.2
20-Nov,2020,11,46,17.2,21.7,13.2,26.5,8.2,96,0,22.5,0,35.5,0,170.9,0,54,0,70,1018.2
20-Dec,2020,12,46,10.3,15.2,6.1,19.6,1,29,0,5.5,0,15,0,170.4,0,54,0,64,1018.6
21-Jan,2021,1,46,9.2,13.8,5.5,21,-0.6,45.5,0,10,0,15.5,0,157,0,49,0,68,1017.9
21-Feb,2021,2,46,12.1,17.2,7.8,23.1,0,86.5,0,9,0,27.5,0,161.6,0,52,0,67,1015.7
21-Mar,2021,3,46,15.6,20.4,11.5,24.9,4.6,151.5,0,27,0,70,0,172.6,0,47,0,72,1014.1
21-Apr,2021,4,46,18,22.7,14.2,26.7,8.4,102.5,0,11,0,37.5,0,184.6,0,48,0,65,1013.4
21-May,2021,5,46,,,,,,,0,,0,,0,,0,,0,,
