ダウンロードした時刻：2021/05/19 13:50:29,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
19-Aug,2019,8,29,28.3,33.5,24.6,37.4,19.8,298,0,42.5,0,60.5,0,195.9,0,47,0,74,996.5
19-Sep,2019,9,29,25.6,30.9,21.7,35.7,14,35.5,0,12.5,0,14,0,194.5,0,52,0,72,1002.6
19-Oct,2019,10,29,19.3,23.9,15.7,32,10.3,279,0,18,0,112.5,0,112.2,0,32,0,78,1003.8
19-Nov,2019,11,29,12.2,17.6,7.5,24.6,2.6,30,0,8,0,13.5,0,179.8,0,58,0,74,1007.9
19-Dec,2019,12,29,7.7,12.5,3.5,17.2,0.5,70,0,6.5,0,19,0,118.9,0,39,0,77,1009.6
20-Jan,2020,1,29,7,10.9,3.5,16.9,-0.2,70.5,0,11,0,23.5,0,95.8,0,31,0,74,1006.6
20-Feb,2020,2,29,6.3,11.3,2.3,17.4,-2.5,74.5,0,13.5,0,23.5,0,117.2,0,37,0,71,1009.5
20-Mar,2020,3,29,10,15.5,5.3,23.1,-0.6,120,0,7.5,0,22.5,0,170.7,0,46,0,68,1003.5
20-Apr,2020,4,29,12.5,18.2,7.3,25.9,3.4,118.5,0,11,0,35.5,0,201.5,0,52,0,59,1002.4
20-May,2020,5,29,19.9,26.1,14.9,30.3,9.8,123,0,18.5,0,33,0,190.7,0,44,0,65,999.4
20-Jun,2020,6,29,24.2,29.1,19.9,33.8,14.8,218,0,14.5,0,57,0,156.6,0,36,0,71,995.8
20-Jul,2020,7,29,25.3,29.6,22.4,35.3,19.2,403.5,0,25,0,58.5,0,72.3,0,16,0,82,997.2
20-Aug,2020,8,29,29.7,35.8,25.3,38,22.4,57,0,37,0,38.5,0,262.3,0,63,0,68,999.5
20-Sep,2020,9,29,24.5,29.7,20.9,35.9,15.4,122.5,0,12,0,53,0,133,0,36,0,76,999.5
20-Oct,2020,10,29,17,22.2,12.9,28,6.3,272.5,0,14.5,0,78,0,165.1,0,47,0,75,1005.3
20-Nov,2020,11,29,12.9,18.7,8.1,26.5,4.3,33,0,7.5,0,18.5,0,164.1,0,53,0,75,1009.8
20-Dec,2020,12,29,6.7,11.9,2.7,16.2,-1,15.5,0,3,0,9,0,152.4,0,50,0,70,1008
21-Jan,2021,1,29,4.7,9.2,1,17.4,-3.1,70.5,0,3.5,0,27.5,0,153,0,49,0,69,1007.9
21-Feb,2021,2,29,7.4,12.9,2.5,20.7,-1.8,52.5,0,7,0,30,0,168.1,0,55,0,63,1006.2
21-Mar,2021,3,29,11,17.6,5.5,23.1,0.4,120.5,0,13,0,30.5,0,183.3,0,50,0,69,1006.3
21-Apr,2021,4,29,14.4,20.8,8.6,27.1,2.3,159.5,0,11.5,0,61,0,211.1,0,54,0,63,1005.9
21-May,2021,5,29,,,,,,,0,,0,,0,,0,,0,,
