ダウンロードした時刻：2021/05/19 13:41:01,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
19-Nov,2019,11,8,11.3,16.8,6.4,23.2,-0.4,146.5,0,14.5,0,36,0,180.8,0,59,0,72,1014.8
19-Dec,2019,12,8,6.9,12.2,2.3,17.3,-2.8,54,0,7,0,15,0,138,0,46,0,71,1015.9
20-Jan,2020,1,8,5.6,10.7,0.9,17.4,-2.9,124,0,12.5,0,51,0,156,0,51,0,69,1013
20-Feb,2020,2,8,6.2,12.1,0.8,18.3,-6.3,39.5,0,3,0,14,0,199.6,0,64,0,62,1015
20-Mar,2020,3,8,9.3,15,3.7,24.2,-1.4,112.5,0,5,0,33.5,0,199.5,0,54,0,66,1010.2
20-Apr,2020,4,8,11.4,16.8,6.1,24.3,0.3,177,0,17,0,67,0,216.1,0,55,0,66,1009.3
20-May,2020,5,8,18.5,23.5,14.1,29.7,7.3,158.5,0,13,0,63,0,189.8,0,44,0,73,1007.9
20-Jun,2020,6,8,22,26.3,18.6,32.6,16.8,216,0,25.5,0,75.5,0,154.6,0,35,0,81,1004.4
20-Jul,2020,7,8,22.9,26.5,20.3,31.7,17,228.5,0,39,0,48,0,36.9,0,8,0,88,1005.8
20-Aug,2020,8,8,27.4,32.2,23.7,37.6,20.3,54,0,25,0,31.5,0,278.6,0,67,0,78,1008
20-Sep,2020,9,8,23.5,27.6,20.5,34.8,13,120,0,27,0,35.5,0,136,0,37,0,82,1009.2
20-Oct,2020,10,8,16.3,20.6,12.6,25.7,4.7,159.5,0,8,0,45.5,0,115.3,0,33,0,78,1013.9
20-Nov,2020,11,8,11.9,17.7,6.7,25.1,1.8,23,0,6,0,8,0,185.8,0,61,0,72,1016.7
20-Dec,2020,12,8,5.2,11.3,0.2,16,-5.8,9.5,0,2.5,0,5.5,0,190.6,0,64,0,68,1013.2
21-Jan,2021,1,8,3.4,9.4,-1.9,16.5,-6.8,21,0,2,0,7.5,0,183.9,0,60,0,63,1013.4
21-Feb,2021,2,8,6,13.2,-0.5,22.2,-4.2,75.5,0,32,0,66.5,0,233.3,0,77,0,53,1010.9
21-Mar,2021,3,8,10.7,16.6,4.8,22.8,-1.4,141,0,14,0,47.5,0,187,0,51,0,65,1014
21-Apr,2021,4,8,13.2,18.9,7.4,25.5,2.4,170,0,32,0,48,0,242.3,0,62,0,63,1014.3
21-May,2021,5,8,,,,,,,0,,0,,0,,0,,0,,
