ダウンロードした時刻：2021/05/19 13:44:10,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
19-Mar,2019,3,15,7.2,12,3,17.6,0.3,92,0,6.5,0,13.5,0,154.2,0,42,0,69,1013.9
19-Apr,2019,4,15,10.8,15.4,6.5,24.7,1.5,107.5,0,4,0,16.5,0,173.9,0,44,0,67,1013.5
19-May,2019,5,15,18,23.6,13.1,31.6,7.6,62,0,7.5,0,24.5,0,312.3,0,71,0,63,1012.4
19-Jun,2019,6,15,20.8,24.8,17.4,28.9,14.1,174.5,0,12.5,0,55.5,0,185.2,0,42,0,77,1006.6
19-Jul,2019,7,15,25.2,29.2,22,34.6,18.6,73.5,0,10.5,0,18,0,172,0,38,0,77,1008
19-Aug,2019,8,15,27.5,31.7,24.4,39.2,18.2,177,0,31.5,0,60.5,0,244.1,0,58,0,79,1007.7
19-Sep,2019,9,15,23.4,27.6,19.6,35.5,13.4,30.5,0,5,0,9,0,161.9,0,43,0,74,1014.9
19-Oct,2019,10,15,17.7,21.6,13.4,27.8,8.1,188.5,0,12,0,69.5,0,122.2,0,35,0,77,1016.3
19-Nov,2019,11,15,11,15.2,6.8,22.1,0.5,137,0,20,0,28.5,0,104.9,0,35,0,72,1019.3
19-Dec,2019,12,15,6.6,10.6,3,16.2,-0.6,94,0,7,0,12.5,0,76.9,0,26,0,74,1020.1
20-Jan,2020,1,15,5.2,8.2,2.4,13.2,-0.8,146,0,8,0,26.5,0,60.7,0,20,0,77,1017.7
20-Feb,2020,2,15,5,8.7,1.5,15.1,-3.7,102,0,6,0,25,0,74.8,0,24,0,75,1019.7
20-Mar,2020,3,15,7.9,12.2,3.7,20.8,0.3,121,0,6,0,21,0,161,0,44,0,69,1014.5
20-Apr,2020,4,15,10.1,14.6,6,22.6,2.7,108,0,5.5,0,32,0,167.6,0,43,0,69,1013.7
20-May,2020,5,15,17.2,22.1,13.2,29.1,7.3,82,0,10.5,0,45.5,0,206.2,0,47,0,74,1010.9
20-Jun,2020,6,15,22.3,26.6,18.6,30.9,13.1,80.5,0,10,0,33.5,0,205.6,0,47,0,75,1007.1
20-Jul,2020,7,15,23.6,26.8,21.3,31,18.8,649.5,0,20,0,85.5,0,75.3,0,17,0,88,1007.9
20-Aug,2020,8,15,27.7,31.5,24.3,35.7,21.3,101.5,0,18,0,39,0,227.3,0,54,0,79,1010.4
20-Sep,2020,9,15,24.4,28.6,21.1,38.8,12.2,250.5,0,26,0,71.5,0,167.3,0,45,0,75,1011.3
20-Oct,2020,10,15,16.4,20.6,12.6,26.6,6.8,108.5,0,12.5,0,22,0,120.5,0,35,0,73,1017.3
20-Nov,2020,11,15,11.4,15.4,7.5,25.1,3.6,124.5,0,9,0,17,0,96.7,0,32,0,73,1020.6
20-Dec,2020,12,15,5.2,8.5,2.6,14.8,-2.9,203.5,0,8.5,0,25,0,45.5,0,15,0,80,1017.6
21-Jan,2021,1,15,1.9,4.9,-0.8,9.8,-5,247.5,0,6.5,0,35,0,50.2,0,17,0,81,1017.9
21-Feb,2021,2,15,4.4,8.7,0.5,18,-4.2,97.5,0,5,0,31.5,0,104.3,0,35,0,71,1015.8
21-Mar,2021,3,15,8.5,13.4,4,21.1,-1.3,77.5,0,5.5,0,19,0,152.5,0,41,0,69,1018.4
21-Apr,2021,4,15,11.4,16.2,7,23.8,0.6,109.5,0,5.5,0,30,0,218,0,55,0,68,1018.1
21-May,2021,5,15,,,,,,,0,,0,,0,,0,,0,,
