ダウンロードした時刻：2021/05/19 13:54:36,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
20-May,2020,5,36,20.4,24.9,16.6,31.3,11.1,103,0,10.5,0,33,0,236.7,0,55,0,70,1010.7
20-Jun,2020,6,36,24.1,28.1,20.9,32.7,17.8,159,0,14,0,71.5,0,174.3,0,41,0,77,1006.8
20-Jul,2020,7,36,25.7,29.1,23.4,33.8,20.7,308.5,0,33,0,59.5,0,101.8,0,23,0,84,1007.9
20-Aug,2020,8,36,29.9,34.6,26.3,37.7,24.4,19,0,19,0,19,0,315.2,0,76,0,73,1010.4
20-Sep,2020,9,36,25.1,28.9,22.1,36.2,17.8,303.5,0,26,0,86.5,0,131.2,0,35,0,75,1010.4
20-Oct,2020,10,36,18.7,22.5,15.5,26.7,10.1,387.5,0,27.5,0,118,0,174.1,0,50,0,71,1016.7
20-Nov,2020,11,36,14.9,18.8,11.2,25.7,7.5,45,0,5.5,0,25,0,166.3,0,53,0,70,1021.5
20-Dec,2020,12,36,8.6,12.4,5.3,16.8,1.4,9.5,0,1.5,0,4,0,189.5,0,62,0,61,1020.4
21-Jan,2021,1,36,5.9,10,2.3,16.1,-2.9,65,0,6,0,34,0,183,0,58,0,66,1020.4
21-Feb,2021,2,36,8.6,13.5,4.3,20.2,-1.2,56,0,9,0,38,0,187.9,0,62,0,62,1018.3
21-Mar,2021,3,36,12.2,16.8,7.9,21.5,3.2,105,0,14,0,29.5,0,181.6,0,49,0,68,1018
21-Apr,2021,4,36,15.4,20.2,10.8,25.5,6,65.5,0,7,0,28.5,0,230.9,0,59,0,63,1017.6
21-May,2021,5,36,,,,,,,0,,0,,0,,0,,0,,
