ダウンロードした時刻：2021/05/19 13:43:17,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
18-May,2018,5,13,19.8,24.6,15.4,29,9,165.5,0,16,0,49,0,199.3,0,46,0,71,1008.5
18-Jun,2018,6,13,22.4,26.6,19.1,32.9,14.2,155.5,0,9.5,0,50,0,163.1,0,38,0,80,1006.5
18-Jul,2018,7,13,28.3,32.7,25,39,19.1,107,0,16,0,52,0,227.2,0,51,0,77,1007.6
18-Aug,2018,8,13,28.1,32.5,24.6,37.3,18.3,86.5,0,16,0,41,0,217.4,0,52,0,77,1005.9
18-Sep,2018,9,13,22.9,26.6,19.9,33,14.1,365,0,38.5,0,40.5,0,96.7,0,26,0,86,1010.7
18-Oct,2018,10,13,19.1,23,15.8,32.3,11.6,61.5,0,19,0,18,0,139,0,40,0,74,1012.9
18-Nov,2018,11,13,14,17.7,10.6,22.8,5.8,63,0,13.5,0,35.5,0,151,0,49,0,72,1016.9
18-Dec,2018,12,13,8.3,12.1,4.7,23.4,-0.7,44,0,8.5,0,18,0,145.3,0,48,0,61,1015.8
19-Jan,2019,1,13,5.6,10.3,1.4,14,-1.2,16,0,4,0,15.5,0,222.2,0,72,0,51,1013.4
19-Feb,2019,2,13,7.2,11.6,3.3,19.5,-1.2,42,0,6,0,22.5,0,138,0,46,0,59,1015
19-Mar,2019,3,13,10.6,15.4,6.2,23.9,1.1,117.5,0,10,0,32,0,177.3,0,48,0,60,1010.1
19-Apr,2019,4,13,13.6,19,9.2,25.6,2.3,90.5,0,4,0,29.5,0,194.4,0,50,0,63,1010.3
19-May,2019,5,13,20,25.3,15.3,32.6,7.9,120.5,0,13.5,0,82,0,229.4,0,53,0,65,1010.3
19-Jun,2019,6,13,21.8,25.8,18.5,32.3,13.9,225,0,10.5,0,92.5,0,129.5,0,30,0,81,1004.8
19-Jul,2019,7,13,24.1,27.5,21.6,34.6,17.7,193,0,11.5,0,39,0,81.1,0,18,0,89,1006.8
19-Aug,2019,8,13,28.4,32.8,25.2,35.6,20.7,110,0,20,0,20,0,187.8,0,45,0,80,1005.9
19-Sep,2019,9,13,25.1,29.4,21.7,36.2,17.1,197,0,36.5,0,119,0,137.6,0,37,0,79,1012.3
19-Oct,2019,10,13,19.4,23.3,16.4,30.3,12.1,529.5,0,27.5,0,209.5,0,112.8,0,32,0,80,1013.2
19-Nov,2019,11,13,13.1,17.7,9.3,23.9,1.6,156.5,0,9,0,60.5,0,170.3,0,55,0,69,1015.4
19-Dec,2019,12,13,8.5,12.6,5.2,18.9,2.2,76.5,0,10,0,36,0,128.6,0,43,0,66,1016.7
20-Jan,2020,1,13,7.1,11.1,3.7,18.6,0.6,135,0,11,0,55.5,0,139.8,0,45,0,65,1013.8
20-Feb,2020,2,13,8.3,13.3,4,18.2,-2.1,15,0,4,0,8.5,0,196.1,0,62,0,55,1015.6
20-Mar,2020,3,13,10.7,16,6.2,24.6,0.7,131,0,8,0,51.5,0,181.9,0,49,0,65,1010.9
20-Apr,2020,4,13,12.8,18.2,7.9,24.2,5.3,296.5,0,24,0,132,0,213.4,0,55,0,66,1009.7
20-May,2020,5,13,19.5,24,15.6,28.7,10.7,118,0,12.5,0,54.5,0,175.5,0,40,0,75,1008.4
20-Jun,2020,6,13,23.2,27.5,19.8,32.6,17.1,212.5,0,11,0,50,0,136.3,0,31,0,82,1004.7
20-Jul,2020,7,13,24.3,27.7,21.8,32.5,17.4,270.5,0,17.5,0,40.5,0,47.7,0,11,0,89,1006.2
20-Aug,2020,8,13,29.1,34.1,25.3,37.3,21.8,61.5,0,34.5,0,38,0,254.7,0,61,0,76,1008.3
20-Sep,2020,9,13,24.2,28.1,21.5,35.1,14.7,117.5,0,13,0,25.5,0,105.7,0,28,0,83,1009.6
20-Oct,2020,10,13,17.5,21.4,14.4,26.7,9.2,205,0,7.5,0,73.5,0,113.9,0,33,0,75,1014.5
20-Nov,2020,11,13,14,18.6,10.1,24.9,5.2,14.5,0,2.5,0,5,0,156.6,0,51,0,65,1017.3
20-Dec,2020,12,13,7.7,12.3,3.7,17.2,-0.6,13,0,3,0,8,0,167.9,0,56,0,61,1013.9
21-Jan,2021,1,13,5.4,10.3,1.3,18.7,-2.4,43.5,0,2.5,0,19,0,172.4,0,56,0,57,1014.1
21-Feb,2021,2,13,8.5,14,3.3,21.9,-0.5,88.5,0,24,0,76.5,0,214.9,0,71,0,49,1011.8
21-Mar,2021,3,13,12.8,17.9,8.3,23.4,2.3,173,0,19.5,0,65,0,193.2,0,52,0,62,1014.5
21-Apr,2021,4,13,15.1,20.6,10.3,26.2,6,156,0,18,0,37,0,218.5,0,56,0,60,1014.8
21-May,2021,5,13,,,,,,,0,,0,,0,,0,,0,,
