ダウンロードした時刻：2021/05/19 13:46:47,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
17-Jul,2017,7,21,28.1,32.5,24.6,35.6,21.1,247,0,42,0,71.5,0,158.6,0,36,0,73,1007.6
17-Aug,2017,8,21,28.1,32.9,24.6,36.4,20.3,249,0,37.5,0,100,0,167,0,40,0,72,1005.2
17-Sep,2017,9,21,23.6,28.7,19.4,32.4,12.5,124.5,0,7.5,0,28.5,0,186.5,0,50,0,65,1009.6
17-Oct,2017,10,21,18.1,22.1,14.7,30.7,6.7,513.5,0,34.5,0,195.5,0,117.3,0,34,0,75,1015.7
17-Nov,2017,11,21,11.4,16.1,7.1,23.4,2.1,43.5,0,3.5,0,14.5,0,159.2,0,52,0,68,1017.7
17-Dec,2017,12,21,5.6,9.8,1.8,15.1,-1,51.5,0,10,0,31,0,167,0,55,0,66,1017.6
18-Jan,2018,1,21,3.6,8.2,-0.1,14.9,-3.7,65.5,0,4.5,0,27.5,0,172.7,0,56,0,68,1015.8
18-Feb,2018,2,21,4.4,9.5,0,15.7,-3.3,19,0,3.5,0,15.5,0,174.3,0,57,0,57,1017.3
18-Mar,2018,3,21,11.1,16.8,5.5,25.4,0.1,220.5,0,26.5,0,51,0,229.4,0,62,0,56,1016
18-Apr,2018,4,21,16.4,21.9,11.3,29.7,3.7,244,0,23.5,0,78,0,211.2,0,54,0,59,1013.5
18-May,2018,5,21,19.9,25,15.2,30.6,8.2,297.5,0,21,0,71.5,0,207.1,0,48,0,62,1010.2
18-Jun,2018,6,21,23.5,28.3,19.5,34.3,14.8,208.5,0,28,0,67.5,0,183.2,0,42,0,69,1007.1
18-Jul,2018,7,21,29.6,34.4,25.8,39.6,22,320.5,0,35,0,129.5,0,235.8,0,53,0,67,1008
18-Aug,2018,8,21,29.8,35.1,25.9,39.3,20.4,103.5,0,23.5,0,36.5,0,245.6,0,59,0,63,1006.9
18-Sep,2018,9,21,23.6,27.8,20.3,33,14.6,427.5,0,22,0,71.5,0,106,0,29,0,77,1010.6
18-Oct,2018,10,21,18.9,23.9,14.6,29.3,9.8,48,0,7.5,0,18,0,181.9,0,52,0,65,1014.4
18-Nov,2018,11,21,13.9,19.1,9.4,23.4,3.2,40,0,8,0,28,0,191.1,0,62,0,62,1018.3
18-Dec,2018,12,21,7.9,12.1,4,20.3,-2.5,92.5,0,7.5,0,16.5,0,139.5,0,46,0,67,1019.3
19-Jan,2019,1,21,4.9,9.2,0.8,13.7,-2,21.5,0,3,0,8.5,0,170.2,0,55,0,61,1017.7
19-Feb,2019,2,21,7.2,11.8,3.1,18,-1.3,62.5,0,5.5,0,30.5,0,153.2,0,51,0,55,1017.9
19-Mar,2019,3,21,9.9,14.9,5.3,21.1,-0.1,83,0,4.5,0,20.5,0,191.8,0,52,0,56,1012.8
19-Apr,2019,4,21,13.9,19.2,9,26.1,1.3,179,0,9.5,0,37.5,0,211.3,0,54,0,57,1012.1
19-May,2019,5,21,20.5,26.5,15.1,33.5,7.5,125,0,23.5,0,70,0,269.5,0,62,0,52,1011.2
19-Jun,2019,6,21,23.3,28.1,19.5,32.6,16.3,213.5,0,19,0,59,0,187.4,0,43,0,67,1005.2
19-Jul,2019,7,21,26.2,30.3,23,37.3,19.7,399,0,66.5,0,106,0,113,0,26,0,77,1006.8
19-Aug,2019,8,21,29.2,34.2,25.7,38.5,21,222,0,33,0,63.5,0,220.1,0,53,0,69,1006.6
19-Sep,2019,9,21,26.7,31.7,22.9,37.4,17.4,99.5,0,42.5,0,75,0,193.4,0,52,0,64,1012.5
19-Oct,2019,10,21,20.3,24.7,16.8,32.4,11.4,296.5,0,16.5,0,95,0,143.9,0,41,0,69,1013.5
19-Nov,2019,11,21,13.4,18.8,8.7,23.7,3.5,17,0,3,0,8,0,199.3,0,65,0,59,1017.4
19-Dec,2019,12,21,8.6,13,4.6,17.1,0,79.5,0,5,0,23.5,0,142.8,0,47,0,66,1019.4
20-Jan,2020,1,21,7.6,11.9,3.7,17.3,-0.3,64.5,0,6.5,0,21,0,130.3,0,42,0,64,1016.2
20-Feb,2020,2,21,7,11.5,2.8,17.5,-2.9,81,0,9.5,0,38.5,0,170.1,0,54,0,59,1019.3
20-Mar,2020,3,21,10.5,15.6,6,23.4,0,131,0,8.5,0,32.5,0,199.7,0,54,0,58,1013.3
20-Apr,2020,4,21,13.1,18.6,8.2,26.6,4.1,163,0,20.5,0,41.5,0,245.9,0,63,0,52,1012.1
20-May,2020,5,21,20.4,25.7,15.9,31,11.3,172.5,0,10,0,72.5,0,207.8,0,48,0,61,1009.6
20-Jun,2020,6,21,24.6,29.4,20.8,33.5,17.8,332.5,0,22,0,59.5,0,175.5,0,40,0,68,1005.6
20-Jul,2020,7,21,25.4,29.4,22.9,35.5,18.8,574,0,37.5,0,85,0,84.4,0,19,0,81,1007
20-Aug,2020,8,21,30.3,35.9,26.2,39.2,23.5,71.5,0,28.5,0,30.5,0,264.5,0,63,0,65,1009.3
20-Sep,2020,9,21,25.4,30,22.1,35.7,17.2,222,0,47.5,0,80,0,148.9,0,40,0,71,1009.6
20-Oct,2020,10,21,18,22.8,14,29.2,6.2,209,0,9.5,0,54.5,0,181.3,0,52,0,65,1015.1
20-Nov,2020,11,21,13.9,19,9.4,25,5.5,27,0,4,0,12,0,196.9,0,64,0,62,1019.7
20-Dec,2020,12,21,7.2,12,3.3,17.2,-0.8,40.5,0,4.5,0,18.5,0,167.4,0,55,0,68,1017.4
21-Jan,2021,1,21,4.6,8.9,1.1,15.9,-3.2,74.5,0,7.5,0,19,0,141.8,0,46,0,70,1017.6
21-Feb,2021,2,21,7.3,12.3,3,21,-2.2,58.5,0,8.5,0,35,0,165.9,0,55,0,58,1016.1
21-Mar,2021,3,21,11.8,17.2,6.8,24,2.5,202,0,15,0,54,0,191.5,0,52,0,60,1016.4
21-Apr,2021,4,21,15,20.3,9.9,27.6,4.3,218,0,11,0,79.5,0,221.5,0,57,0,56,1016.2
21-May,2021,5,21,,,,,,,0,,0,,0,,0,,0,,
