date,prefecture_num,year,month, pm25, pm10, no2, so2, co
2020/7/17,2,2020,7,42,9,1, ,1
2020/7/18,2,2020,7,33,7,1, ,1
2020/7/19,2,2020,7,31,13,3, ,1
2020/7/20,2,2020,7,45,17,3, ,1
2020/7/21,2,2020,7,52,13,2, ,1
2020/7/22,2,2020,7,43,8,2, ,1
2020/7/23,2,2020,7,32,10,2, ,1
2020/7/24,2,2020,7,40,8,2, ,1
2020/7/25,2,2020,7,34,5,1, ,1
2020/7/26,2,2020,7,25,8,2, ,1
2020/7/27,2,2020,7,27,6,1, ,1
2020/7/28,2,2020,7,26,7,2, , 
2020/7/29,2,2020,7,35,14,3, ,1
2020/7/30,2,2020,7,52,11,4, ,1
2020/7/31,2,2020,7,45,12,3, ,1
2020/8/1,2,2020,8,46,11,2, , 
2020/8/2,2,2020,8,45,17,4, ,1
2020/8/3,2,2020,8,56,44,1, , 
2020/8/4,2,2020,8,109,51,1, , 
2020/8/5,2,2020,8,112,33,3, ,1
2020/8/6,2,2020,8,80,20,2, ,1
2020/8/7,2,2020,8,57,14,2, ,1
2020/8/8,2,2020,8,44,10,3, ,1
2020/8/9,2,2020,8,34,12,3, , 
2020/8/10,2,2020,8,46,15,2, , 
2020/8/11,2,2020,8,52,13,1, , 
2020/8/12,2,2020,8,41,18,1, , 
2020/8/13,2,2020,8,60,15,2, ,1
2020/8/14,2,2020,8,54,16,2, ,1
2020/8/15,2,2020,8,53,12,1, ,1
2020/8/16,2,2020,8,52,11,1, ,1
2020/8/17,2,2020,8,40,9,1, ,1
2020/8/18,2,2020,8,43,16,2, ,1
2020/8/19,2,2020,8,54,14,1, ,1
2020/8/20,2,2020,8,53,12,2, ,1
2020/8/21,2,2020,8,38,7,2, ,1
2020/8/22,2,2020,8,23,10,2, ,1
2020/8/23,2,2020,8,38,11,2, ,1
2020/8/24,2,2020,8,42,12,1, ,1
2020/8/25,2,2020,8,46,18,2, ,1
2020/8/26,2,2020,8,57,20,2, ,1
2020/8/27,2,2020,8,59,22,6, ,1
2020/8/28,2,2020,8,61,22,2, ,1
2020/8/29,2,2020,8,60,4,1, , 
2020/8/30,2,2020,8,21,4,1,1, 
2020/8/31,2,2020,8,20,6,2, , 
2020/9/1,2,2020,9,23,17,3, ,1
2020/9/2,2,2020,9,43,16,2, , 
2020/9/3,2,2020,9,45,14,5, , 
2020/9/4,2,2020,9,41,9,3, , 
2020/9/5,2,2020,9,37,8,2, , 
2020/9/6,2,2020,9,35,10,2, , 
2020/9/7,2,2020,9,42, , , , 
2020/9/13,2,2020,9,18,5,4, ,1
2020/9/14,2,2020,9,21,9,2, ,1
2020/9/15,2,2020,9,17,11,3, ,1
2020/9/16,2,2020,9,29,14,4, ,1
2020/9/17,2,2020,9,43,18,2, ,2
2020/9/18,2,2020,9,20,10,2, ,2
2020/9/19,2,2020,9,26,11,1, ,1
2020/9/20,2,2020,9,27,9,2, ,1
2020/9/21,2,2020,9,22,9,2, ,1
2020/9/22,2,2020,9,21,9,3, ,1
2020/9/23,2,2020,9,26,10,1, ,1
2020/9/24,2,2020,9,23,7,1, ,1
2020/9/25,2,2020,9,22,5,1, , 
2020/9/26,2,2020,9,21,5,1, , 
2020/9/27,2,2020,9,20,8,2, ,1
2020/9/28,2,2020,9,37,10,3, , 
2020/9/29,2,2020,9,42,9,2, ,1
2020/9/30,2,2020,9,45,10,4, ,1
2020/4/1,2,2020,4,47,12,2, ,1
2020/4/2,2,2020,4,40,19,1, ,1
2020/4/3,2,2020,4,60,16,7, ,1
2020/4/4,2,2020,4,51,9,1, ,1
2020/4/5,2,2020,4,30,10,1, , 
2020/4/6,2,2020,4,32,21,2,1,1
2020/4/7,2,2020,4,67,16,3, ,1
2020/4/8,2,2020,4,58,10,3, ,1
2020/4/9,2,2020,4,40,9,3, , 
2020/4/10,2,2020,4,32,8,2, , 
2020/4/11,2,2020,4,35,8,3, ,1
2020/4/12,2,2020,4,36,10,1, ,1
2020/4/13,2,2020,4,38,13,1, ,2
2020/4/14,2,2020,4,41,12,6, ,1
2020/4/15,2,2020,4,32,9,4, ,1
2020/4/16,2,2020,4,19,10,7, ,1
2020/4/17,2,2020,4,28,12,5, ,1
2020/4/18,2,2020,4,29,8,1,1, 
2020/4/19,2,2020,4,16,6,4, ,1
2020/4/20,2,2020,4,13,8,1, ,1
2020/4/21,2,2020,4,21,13,1, ,1
2020/4/22,2,2020,4,29,11,1, ,1
2020/4/23,2,2020,4,21,11,2, ,1
2020/4/24,2,2020,4,26,13,3, ,1
2020/4/25,2,2020,4,38,12,2, ,1
2020/4/26,2,2020,4,35,12,3, ,1
2020/4/27,2,2020,4,32,12,3, ,1
2020/4/28,2,2020,4,31,13,3, ,1
2020/4/29,2,2020,4,41,15,10, ,1
2020/4/30,2,2020,4,52,20,8, ,1
2020/5/1,2,2020,5,59,29,1, ,1
2020/5/2,2,2020,5,77,29,3, ,1
2020/5/3,2,2020,5,77,20,3, , 
2020/5/4,2,2020,5,60,7,2, , 
2020/5/5,2,2020,5,15,8,2, , 
2020/5/6,2,2020,5,24,6,1, , 
2020/5/7,2,2020,5,21,11,2, ,1
2020/5/8,2,2020,5,33,13,1, ,1
2020/5/9,2,2020,5,37,14,3,1,1
2020/5/10,2,2020,5,33,14,1, ,1
2020/5/11,2,2020,5,37,34,4, ,1
2020/5/12,2,2020,5,71,17,4, ,1
2020/5/13,2,2020,5,57,9,2, , 
2020/5/14,2,2020,5,38,19,7, ,1
2020/5/15,2,2020,5,54,14,4, ,1
2020/5/16,2,2020,5,48,11,3, ,1
2020/5/17,2,2020,5,41,11,2, ,1
2020/5/18,2,2020,5,46,5,1, , 
2020/5/19,2,2020,5,23,8,2, ,1
2020/5/20,2,2020,5,26,7,2, ,1
2020/5/21,2,2020,5,29,8,3, ,1
2020/5/22,2,2020,5,36,13,5, ,1
2020/5/23,2,2020,5,47,9,4, ,1
2020/5/24,2,2020,5,36,8,2, , 
2020/5/25,2,2020,5,37,8,5, ,1
2020/5/26,2,2020,5,31,10,2, ,1
2020/5/27,2,2020,5,41,9,1, , 
2020/5/28,2,2020,5,41,8,1, , 
2020/5/29,2,2020,5,39,8,2,1, 
2020/5/30,2,2020,5,38,10,3,1, 
2020/5/31,2,2020,5,41,13,6, ,1
2020/6/1,2,2020,6,54,16,3, , 
2020/6/2,2,2020,6,54,15,4, ,1
2020/6/3,2,2020,6,58,14,6,1,1
2020/6/4,2,2020,6,56,16,3,1, 
2020/6/5,2,2020,6,55,10,1, , 
2020/6/6,2,2020,6,43,7,1, , 
2020/6/7,2,2020,6,30,8,1, , 
2020/6/8,2,2020,6,34,10,3, ,1
2020/6/9,2,2020,6,34,19,4, ,1
2020/6/10,2,2020,6,62,21,8, ,1
2020/6/11,2,2020,6,67,11,1, , 
2020/6/12,2,2020,6,43,13,2, , 
2020/6/13,2,2020,6,44,15,2, , 
2020/6/14,2,2020,6,52,11,3, , 
2020/6/15,2,2020,6,42,9,2, , 
2020/6/16,2,2020,6,35,9,1, , 
2020/6/17,2,2020,6,27,11,4, , 
2020/6/18,2,2020,6,37,12,2, , 
2020/6/19,2,2020,6,39,7,1, , 
2020/6/20,2,2020,6,35,7,1, , 
2020/6/21,2,2020,6,36,13,3, , 
2020/6/22,2,2020,6,49,15,2, , 
2020/6/23,2,2020,6,36,9,2, , 
2020/6/24,2,2020,6,42,9,3, ,1
2020/6/25,2,2020,6,40,5,4, ,1
2020/6/26,2,2020,6,24,8,5, ,1
2020/6/27,2,2020,6,27,7,2, , 
2020/6/28,2,2020,6,29,5,2, ,1
2020/6/29,2,2020,6,26,9,4, ,1
2020/6/30,2,2020,6,33,13,5, , 
2020/1/1,2,2020,1,29,11,2, ,1
2020/1/2,2,2020,1,31,9,2, ,1
2020/1/3,2,2020,1,24,13,4, ,1
2020/1/4,2,2020,1,36,13,4, , 
2020/1/5,2,2020,1,33,11,7, ,2
2020/1/6,2,2020,1,35,10,14, ,2
2020/1/7,2,2020,1,29,6,10, ,3
2020/1/8,2,2020,1,25,9,14, , 
2020/1/9,2,2020,1,27,10,16, ,1
2020/1/10,2,2020,1,36,8,13, ,2
2020/1/11,2,2020,1,25,11,6, ,1
2020/1/12,2,2020,1,40,12,7, ,1
2020/1/13,2,2020,1,36,10,10, ,1
2020/1/14,2,2020,1,27,11,11, ,2
2020/1/15,2,2020,1,31,10,3, ,1
2020/1/16,2,2020,1,27,9,4, ,1
2020/1/17,2,2020,1,29,13,7, ,1
2020/1/18,2,2020,1,41,11,12, ,1
2020/1/19,2,2020,1,31,10,9, ,2
2020/1/20,2,2020,1,35,10,9, ,1
2020/1/21,2,2020,1,30,11,6, ,2
2020/1/22,2,2020,1,23,17,12, ,2
2020/1/23,2,2020,1,66,16,9, ,2
2020/1/24,2,2020,1,49,8,2, , 
2020/1/25,2,2020,1,13,8,5, ,2
2020/1/26,2,2020,1,16,12,7, ,1
2020/1/27,2,2020,1,37,9,5, ,2
2020/1/28,2,2020,1,33,8,1, ,1
2020/1/29,2,2020,1,21,8,4, ,2
2020/1/30,2,2020,1,15,8,4, ,1
2020/1/31,2,2020,1,9,8,4, ,1
2020/2/1,2,2020,2,10,9,4, ,1
2020/2/2,2,2020,2,23,10,11, ,1
2020/2/3,2,2020,2,22,10,4, ,1
2020/2/4,2,2020,2,25,9,6, ,1
2020/2/5,2,2020,2,25,8,5, ,1
2020/2/6,2,2020,2,17,9,6, ,3
2020/2/7,2,2020,2,21,11,4, ,1
2020/2/8,2,2020,2,20,8,7, ,2
2020/2/9,2,2020,2,22,9,10, , 
2020/2/14,2,2020,2,101,14,2, , 
2020/2/15,2,2020,2,56,9,4, , 
2020/2/16,2,2020,2,24,7,3, , 
2020/2/17,2,2020,2,22,9,2, , 
2020/2/18,2,2020,2,26,9,3, , 
2020/2/19,2,2020,2,30,12,3, , 
2020/2/20,2,2020,2,40,11,5, , 
2020/2/21,2,2020,2,45,15,14, , 
2020/2/22,2,2020,2,47,22,1, , 
2020/2/23,2,2020,2,64,17,2, ,2
2020/2/24,2,2020,2,45,21,7, ,1
2020/2/25,2,2020,2,61,14,7, ,1
2020/2/26,2,2020,2,46,10,7, ,1
2020/2/27,2,2020,2,33,8,5, ,1
2020/2/28,2,2020,2,30,8,6, ,1
2020/2/29,2,2020,2,29,8,7, , 
2020/3/1,2,2020,3,32,8,6, ,1
2020/3/2,2,2020,3,25,9,3, , 
2020/3/3,2,2020,3,20,11,7, ,1
2020/3/4,2,2020,3,36,8,7, ,1
2020/3/5,2,2020,3,27,9,1, ,1
2020/3/6,2,2020,3,26,8,4, ,1
2020/3/7,2,2020,3,27,11,7, ,1
2020/3/8,2,2020,3,44,12,10, ,1
2020/3/9,2,2020,3,43,11,9, ,1
2020/3/10,2,2020,3,31,9,4, ,1
2020/3/11,2,2020,3,33,10,2, ,1
2020/3/12,2,2020,3,44,15,2, ,1
2020/3/13,2,2020,3,46,11,4, ,1
2020/3/14,2,2020,3,47,11,6, ,1
2020/3/15,2,2020,3,43,10,4, , 
2020/3/16,2,2020,3,32,10,3, ,1
2020/3/17,2,2020,3,34,16,2, ,1
2020/3/18,2,2020,3,53,19,9, ,1
2020/3/19,2,2020,3,57,15,5, , 
2020/3/20,2,2020,3,44,15,3, ,1
2020/3/21,2,2020,3,45,16,7, ,1
2020/3/22,2,2020,3,55,11,3, ,1
2020/3/23,2,2020,3,33,10,4, ,1
2020/3/24,2,2020,3,32,10,4, , 
2020/3/25,2,2020,3,35,14,5, ,1
2020/3/26,2,2020,3,49,15,17, ,2
2020/3/27,2,2020,3,49,13,1, , 
2020/3/28,2,2020,3,40,12,4, , 
2020/3/29,2,2020,3,42, , , , 
2019/10/1,2,2019,10,72,25,5, ,2
2019/10/2,2,2019,10,68,30,9, ,1
2019/10/3,2,2019,10,71,20,6, ,1
2019/10/4,2,2019,10,53,9,2, ,1
2019/10/5,2,2019,10,30,7,3, ,1
2019/10/6,2,2019,10,27,9,6, ,1
2019/10/7,2,2019,10,28,10,7, ,1
2019/10/8,2,2019,10,32,12,2, ,1
2019/10/9,2,2019,10,30,11,5,1,1
2019/10/10,2,2019,10,35,14,7, ,2
2019/10/11,2,2019,10,43,11,4, ,1
2019/10/12,2,2019,10,37,11,3, , 
2019/10/13,2,2019,10,32,13,4,1,1
2019/10/14,2,2019,10,36,8,3, ,1
2019/10/15,2,2019,10,31,9,4, ,1
2019/10/16,2,2019,10,30,11,5, ,1
2019/10/17,2,2019,10,33,11,7, ,1
2019/10/18,2,2019,10,31,10,9, ,1
2019/10/19,2,2019,10,34,12,3, ,1
2019/10/20,2,2019,10,35,12,6, ,1
2019/10/21,2,2019,10,49,12,6, ,1
