date,prefecture_num,year,month, pm25, pm10, o3, no2, so2
2019/7/26,8,2019,7,59,11,20,1,1
2019/7/27,8,2019,7,55,18,24,2,1
2019/7/28,8,2019,7,58,34,56,6,2
2019/7/29,8,2019,7,78,28,70,5,2
2019/7/30,8,2019,7,82,30,45,5,1
2019/7/31,8,2019,7,76,37,46,6,1
2019/8/1,8,2019,8,86,37,67,5,2
2019/8/2,8,2019,8,86,20,51,5,2
2019/8/3,8,2019,8,126,15,32,4,2
2019/8/4,8,2019,8,74,13,17,3,3
2019/8/5,8,2019,8,98,12,59,5,1
2019/8/6,8,2019,8,101,19,53,6,2
2019/8/7,8,2019,8,99,21,65,8,2
2019/8/8,8,2019,8,79,18,71,7,2
2019/8/9,8,2019,8,100,15,34,6,2
2019/8/10,8,2019,8,69,18,33,3,2
2019/8/11,8,2019,8,48,16,22,3,2
2019/8/12,8,2019,8,61,16,16,2,2
2019/8/13,8,2019,8,78,20,19,4,1
2019/8/14,8,2019,8,35,26,17,2, 
2019/8/15,8,2019,8,55,34,37,2,1
2019/8/16,8,2019,8,57,34,56,4,1
2019/8/17,8,2019,8,79,22,43,3,2
2019/8/18,8,2019,8,66,20,38,2,1
2019/8/19,8,2019,8,51,11,26,3,1
2019/8/20,8,2019,8,33,12,36,4,1
2019/8/21,8,2019,8,48,14,33,5,1
2019/8/22,8,2019,8,44,20,20,6,1
2019/8/23,8,2019,8,46,15,45,3,1
2019/8/24,8,2019,8,49,16,46,2,1
2019/8/25,8,2019,8,66,12,39,3,1
2019/8/26,8,2019,8,54,13,37,3,1
2019/8/27,8,2019,8,41,19,30,6,1
2019/8/28,8,2019,8,44,18,49,5,1
2019/8/29,8,2019,8,70,18,13,8,1
2019/8/30,8,2019,8,39,14,42,4,2
2019/8/31,8,2019,8,39,17,43,3,1
2019/9/1,8,2019,9,51,18,40,5,2
2019/9/2,8,2019,9,56,11,35,5,2
2019/9/3,8,2019,9,34,10,38,4,1
2019/9/4,8,2019,9,35,13,34,5,1
2019/9/5,8,2019,9,49,19,40,5,1
2019/9/6,8,2019,9,68,11,17,3,1
2019/9/7,8,2019,9,84,18,12,2,1
2019/9/8,8,2019,9,56,17,14,3, 
2019/9/9,8,2019,9,46,14,32,3,1
2019/9/10,8,2019,9,103,19,37,5,1
2019/9/11,8,2019,9,71,4,38,2,1
2019/9/12,8,2019,9,55,8,26,5,1
2019/9/13,8,2019,9,25,10,30,3,1
2019/9/14,8,2019,9,43,10,29,2,2
2019/9/15,8,2019,9,65,7,16,2,1
2019/9/16,8,2019,9,27,15,30,4,1
2019/9/17,8,2019,9,44,10,31,5,1
2019/9/18,8,2019,9,38,10,34,4,1
2019/9/19,8,2019,9,48,14,35,5,1
2019/9/20,8,2019,9,50,10,34,4,1
2019/9/21,8,2019,9,33,10,33,2,1
2019/9/22,8,2019,9,61,13,24,3,1
2019/9/23,8,2019,9,46,8,29,4,1
2019/9/24,8,2019,9,52,8,36,4,1
2019/9/25,8,2019,9,50,9,35,4,1
2019/9/26,8,2019,9,46,13,47,5,2
2019/9/27,8,2019,9,62,21,35,6,2
2019/9/28,8,2019,9,50,20,37,4,1
2019/9/29,8,2019,9,55,13,32,4,1
2019/9/30,8,2019,9,42,19,36,4,1
2019/4/1,8,2019,4,41,9,40,4,1
2019/4/2,8,2019,4,36,10,40,9,1
