date,prefecture_num,year,month, pm25, pm10, o3, no2, so2
2020/4/12,30,2020,4,37,16,38,3,4
2020/4/13,30,2020,4,38,13,41,3,1
2020/4/14,30,2020,4,43,19,40,13,6
2020/4/15,30,2020,4,56,21,55,10,3
2020/4/16,30,2020,4,64,25,64,9,4
2020/4/17,30,2020,4,69,25,54,5,5
2020/4/18,30,2020,4,59,10,46,3,3
2020/4/19,30,2020,4,38,12,49,6,3
2020/4/20,30,2020,4,37,20,54,6,6
2020/4/21,30,2020,4,57,16,42,3,8
2020/4/22,30,2020,4,48,22,41,4,9
2020/4/23,30,2020,4,56,18,46,5,6
2020/4/24,30,2020,4,57,19,52,10,7
2020/4/25,30,2020,4,63,28,75,11,10
2020/4/26,30,2020,4,76,20,48,6,3
2020/4/27,30,2020,4,62,15,50,6,3
2020/4/28,30,2020,4,57,23,61,13,7
2020/4/29,30,2020,4,71,23,49,11,5
2020/4/30,30,2020,4,68,33,38,14,11
2020/5/1,30,2020,5,91,46,39,12,13
2020/5/2,30,2020,5,116,23,37,9,5
2020/5/3,30,2020,5,67,18,32,10,4
2020/5/4,30,2020,5,54,16,45,8,5
2020/5/5,30,2020,5,54,25,38,10,6
2020/5/6,30,2020,5,70,9,43,3,3
2020/5/7,30,2020,5,38,14,44,9,8
2020/5/8,30,2020,5,50,13,40,9,5
2020/5/9,30,2020,5,51,13,30,10,3
2020/5/10,30,2020,5,41,18,47,8,5
2020/5/11,30,2020,5,55,28,41,11,6
2020/5/12,30,2020,5,72,28,57,6,6
2020/5/13,30,2020,5,71,19,53,12,7
2020/5/14,30,2020,5,61,20,44,10,6
2020/5/15,30,2020,5,59,11,35,10,1
2020/5/16,30,2020,5,32,14,41,7,2
2020/5/17,30,2020,5,43,20,36,7,1
2020/5/18,30,2020,5,55,21,48,6,2
2020/5/19,30,2020,5,54,17,45,3,4
2020/5/20,30,2020,5,52,8,36,4,2
2020/5/21,30,2020,5,30,14,32,11,5
2020/5/22,30,2020,5,47,14,46,10,6
2020/5/23,30,2020,5,44,16,41,8,5
2020/5/24,30,2020,5,48,7,35,13,7
2020/5/25,30,2020,5,20,22,38,10,6
2020/5/26,30,2020,5,59,22,61,5,2
2020/5/27,30,2020,5,63,17,52,7,5
2020/5/28,30,2020,5,59,15,65,8,4
2020/5/29,30,2020,5,57,21,55,11,9
2020/5/30,30,2020,5,65,15,39,3,2
2020/5/31,30,2020,5,47,11,35,10,5
2020/6/1,30,2020,6,38,18,58,11,7
2020/6/2,30,2020,6,53,31,51,9,3
2020/6/3,30,2020,6,80,37,56,9,4
2020/6/4,30,2020,6,92,36,52,11,3
2020/6/5,30,2020,6,87,37,52,12,3
2020/6/6,30,2020,6,87,16,44,4,3
2020/6/7,30,2020,6,48,20,51,10,4
2020/6/8,30,2020,6,57,20,42,8,7
2020/6/9,30,2020,6,59,17,26,8,3
2020/6/10,30,2020,6,40,25,14,8,2
2020/6/11,30,2020,6,53,30,18,11,3
2020/6/12,30,2020,6,61,34,13,12,3
2020/6/13,30,2020,6,64,29,14,7,4
2020/6/14,30,2020,6,59,23,49,7,6
2020/6/15,30,2020,6,55,25,60,11,7
2020/6/16,30,2020,6,66,18,45,10,6
2020/6/17,30,2020,6,49,18,36,7,2
2020/6/18,30,2020,6,47,10,38,8,1
2020/6/19,30,2020,6,21,16,41,3,2
2020/6/20,30,2020,6,43,18,36,8,5
2020/6/21,30,2020,6,51,15,46,5,2
2020/6/22,30,2020,6,49,17,72,7,3
2020/6/23,30,2020,6,57,21,40,6,4
2020/6/24,30,2020,6,54,16,29,7,3
2020/6/25,30,2020,6,44,32,17,8,9
2020/6/26,30,2020,6,62,28,44,13,2
2020/6/27,30,2020,6,65,17,45,6,1
2020/6/28,30,2020,6,45,20,44,6,5
2020/6/29,30,2020,6,53,24,39,4,2
2020/6/30,30,2020,6,49,26,46,6,4
2020/1/1,30,2020,1,31,12,30,5,2
2020/1/2,30,2020,1,47,21,35,8,2
2020/1/3,30,2020,1,66,23,36,6,10
2020/1/4,30,2020,1,66,9,32,3,1
