ダウンロードした時刻：2021/05/19 13:56:47,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Feb-16,7.1,12,2.8,19,-1,75.5,0,8.5,0,38,0,127.8,0,40,0,68,1019.4
Mar-16,11.2,16.3,6.7,23.7,-0.5,76.5,0,8,0,34.5,0,180.6,0,49,0,67,1016.5
Apr-16,17.1,22.2,12.4,27.8,7.9,246.5,0,26,0,97,0,153.1,0,39,0,71,1009.7
May-16,21.3,27,16.1,31.9,9.8,275.5,0,33.5,0,71,0,211.4,0,49,0,68,1008.5
Jun-16,23.8,27.7,20.6,32.3,15.1,578.5,0,47,0,246.5,0,121.4,0,28,0,80,1004.7
Jul-16,28.3,32.8,24.9,36,22.3,248,0,22,0,81,0,201.9,0,46,0,77,1005.7
Aug-16,29.3,35,25.2,38.1,18.5,83,0,39,0,49.5,0,272.5,0,66,0,68,1001.1
Sep-16,25.5,29.6,22.4,34.2,18.9,531.5,0,51.5,0,169.5,0,109.6,0,30,0,79,1007.5
Oct-16,21.4,25.6,18.2,33.6,13.2,156,0,25,0,40.5,0,110,0,31,0,75,1012.7
Nov-16,13.7,18.2,9.6,23.5,3.6,155,0,32.5,0,43,0,143.4,0,46,0,74,1016.7
Dec-16,9.4,14,5.4,18.7,0.2,78,0,9,0,22.5,0,150.2,0,49,0,74,1018.8
Jan-17,6.4,11.1,2.2,15.8,-3.3,32,0,4,0,18.5,0,156.6,0,50,0,69,1018.7
Feb-17,7,12.3,2.4,19.3,-1.4,85.5,0,15,0,27,0,161.7,0,53,0,65,1017.5
Mar-17,9.8,14.7,5.5,21.1,1.9,48,0,4,0,23.5,0,174.4,0,47,0,63,1014.3
Apr-17,16.4,21.7,11.9,28.4,4.1,222,0,26.5,0,91,0,185.5,0,48,0,68,1009.9
May-17,20.9,26.8,15.9,31.7,12.4,111,0,13,0,70.5,0,242,0,57,0,63,1009.3
Jun-17,23.5,28.5,19.2,32.1,14.7,150.5,0,22,0,58,0,170.9,0,40,0,67,1005
Jul-17,28.8,33,25.8,36.9,21.8,330.5,0,35.5,0,192.5,0,167.1,0,38,0,79,1005.9
Aug-17,29.1,33.5,25.7,36.4,22.1,137,0,44,0,63,0,240.3,0,58,0,72,1003.4
Sep-17,23.8,28,20.5,32.3,15.8,204,0,15,0,62,0,124.1,0,33,0,75,1007.7
Oct-17,19.7,23.7,16.5,30.5,8.8,278,0,17.5,0,76.5,0,126.1,0,36,0,75,1013.3
Nov-17,12.6,17.3,8.2,22.9,1.9,19,0,3.5,0,6,0,160.9,0,51,0,71,1017.6
Dec-17,6.1,10.4,1.9,17,-1.8,17,0,7.5,0,9,0,125.3,0,41,0,67,1019.9
Jan-18,4.6,8.8,1,16.7,-3.2,70,0,9.5,0,18,0,137.7,0,44,0,72,1017.8
Feb-18,5.4,10.2,1.3,17,-3.8,49,0,11,0,19.5,0,133.1,0,43,0,69,1017.9
Mar-18,11.8,17.6,6.5,24.6,1.7,173.5,0,15.5,0,44.5,0,197.9,0,54,0,69,1014.9
Apr-18,17.1,22.6,11.7,29,3.2,169.5,0,27,0,73.5,0,208.2,0,54,0,66,1012.2
May-18,20.8,25.6,16.4,30.4,9.8,170.5,0,19,0,71.5,0,186,0,43,0,68,1008.2
Jun-18,24.1,28.6,20.5,33.1,15.7,291,0,29,0,66,0,161.6,0,38,0,75,1004.3
Jul-18,29.3,34,25.6,38.3,21.5,441.5,0,38.5,0,243.5,0,230,0,53,0,71,1004.2
Aug-18,30.1,35.3,26.2,38.4,23.4,88.5,0,29.5,0,35,0,276.8,0,67,0,67,1003.7
Sep-18,24.6,28.5,21.4,34.4,17,226.5,0,28,0,86,0,126.7,0,34,0,77,1007.8
Oct-18,18.5,23.4,14.2,30.8,10,61,0,16.5,0,25,0,188.2,0,54,0,70,1013.3
Nov-18,13.6,19,8.9,24,1.2,46.5,0,13,0,11.5,0,178.7,0,57,0,72,1017.8
Dec-18,9.2,12.9,5.8,24.6,-1,89.5,0,9.5,0,47,0,108.8,0,35,0,72,1019.9
Jan-19,6.8,11.6,2.4,14.8,-2.8,28,0,4,0,17,0,153.2,0,49,0,71,1019.3
Feb-19,8.8,13.2,4.8,19.4,0.3,84,0,6,0,21,0,121.2,0,40,0,69,1017.4
Mar-19,11.5,16.3,7.1,22.7,1.6,114.5,0,9,0,44,0,192.6,0,52,0,65,1012.8
Apr-19,15.5,20.9,10.9,29.4,3.7,147,0,13.5,0,49.5,0,190.3,0,49,0,66,1010.6
May-19,21.1,27.2,15.6,32.4,8.6,49,0,7.5,0,13,0,239.7,0,56,0,58,1008.5
Jun-19,23.9,28.7,20.1,33.4,16.9,97.5,0,18.5,0,22.5,0,183.6,0,43,0,70,1003.1
Jul-19,26.5,30.1,23.7,35.7,20.3,464,0,42.5,0,154,0,122.4,0,28,0,81,1003.6
Aug-19,27.8,31.9,24.6,37.8,18.1,754,0,110,0,283,0,145.3,0,35,0,78,1003.3
Sep-19,26.1,30.6,22.7,35.1,15.9,87,0,15,0,31,0,187.9,0,51,0,76,1008.9
Oct-19,20.5,25.2,16.6,31.3,10.2,100,0,29.5,0,42.5,0,194.7,0,55,0,72,1012.2
Nov-19,14.1,19.6,9.6,24.2,3.8,28.5,0,4,0,9.5,0,192.4,0,61,0,71,1016.8
Dec-19,9.3,13.6,5.4,19.5,1.7,125,0,18.5,0,55.5,0,118.6,0,38,0,73,1019.4
Jan-20,8.7,13.1,5.3,18.4,-0.9,110,0,13.5,0,21,0,111,0,35,0,75,1016.5
Feb-20,8.8,13.7,4.4,20.8,-0.9,131.5,0,11,0,50,0,151.6,0,48,0,71,1019.4
Mar-20,11.9,16.6,7.3,22.4,0.4,149.5,0,25,0,55,0,172.3,0,47,0,68,1012.9
Apr-20,13.9,19.3,8.9,25,4.2,97,0,13.5,0,36.5,0,231.8,0,60,0,60,1012.9
May-20,21,26.2,16.4,31.6,12.1,206,0,15,0,59.5,0,222,0,52,0,67,1007.1
Jun-20,25.3,29.8,21.5,35.3,15.7,542.5,0,60.5,0,159,0,157.5,0,37,0,75,1003.4
Jul-20,25.5,29,22.9,34.1,18.9,1086,0,35,0,209,0,74.8,0,17,0,86,1004.3
Aug-20,29.6,34.5,25.8,37.9,23.9,101,0,30.5,0,37.5,0,236.4,0,57,0,73,1007.1
Sep-20,24.5,29,20.9,35.8,14.9,288.5,0,36.5,0,84,0,165,0,44,0,74,1006.3
Oct-20,19.1,24.3,14.8,28.7,8.5,81,0,9,0,62.5,0,227.5,0,65,0,67,1013.6
Nov-20,14.7,19.8,10.2,26.4,5.6,53,0,25.5,0,37,0,179,0,57,0,69,1018.9
Dec-20,7.3,12.3,2.9,16.9,-1,30,0,5,0,9.5,0,166.1,0,54,0,68,1019.7
Jan-21,6.2,10.5,2.3,17.9,-3.8,33,0,4,0,10.5,0,149.3,0,47,0,73,1018.7
Feb-21,9.4,14.9,4.7,22.5,-2.1,94,0,14.5,0,34.5,0,178.4,0,58,0,67,1016.3
Mar-21,13.4,18.8,8.6,24.6,3.6,110.5,0,12.5,0,29,0,181,0,49,0,68,1014.4
Apr-21,16.6,22.5,11.5,30.1,6.2,118.5,0,10.5,0,44,0,212.1,0,55,0,59,1013.6
May-21,,,,,,,0,,0,,0,,0,,0,,
