表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公開日：,2021年3月5日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
***,調査又は集計していないもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,データが得られないもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,数値が秘匿されているもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A1301,,A130101,,A130102,,A1302,,A130201,,A130202,,A1303,,A130301,,A130302,,A1304,,A130401,,A130402,,A1305,,A130501,,A130502,,A1306,,A130601,,A130602,
調査年 コード,調査年,地域 コード,地域,/項目,A1301_15歳未満人口【人】,注釈,A130101_15歳未満人口（男）【人】,注釈,A130102_15歳未満人口（女）【人】,注釈,A1302_15～64歳人口【人】,注釈,A130201_15～64歳人口（男）【人】,注釈,A130202_15～64歳人口（女）【人】,注釈,A1303_65歳以上人口【人】,注釈,A130301_65歳以上人口（男）【人】,注釈,A130302_65歳以上人口（女）【人】,注釈,A1304_15歳未満人口割合【％】,注釈,A130401_15歳未満人口割合（男）【％】,注釈,A130402_15歳未満人口割合（女）【％】,注釈,A1305_15～64歳人口割合【％】,注釈,A130501_15～64歳人口割合（男）【％】,注釈,A130502_15～64歳人口割合（女）【％】,注釈,A1306_65歳以上人口割合【％】,注釈,A130601_65歳以上人口割合（男）【％】,注釈,A130602_65歳以上人口割合（女）【％】,注釈
2019100000,2019年度,44000,大分県,,"139,000",,"71,000",,"68,000",,"623,000",,"310,000",,"313,000",,"373,000",,"158,000",,"216,000",,12.2,,13.2,,11.4,,54.9,,57.6,,52.5,,32.9,,29.3,,36.2,
2019100000,2019年度,45000,宮崎県,,"143,000",,"73,000",,"70,000",,"584,000",,"286,000",,"299,000",,"346,000",,"147,000",,"199,000",,13.3,,14.4,,12.3,,54.5,,56.5,,52.6,,32.3,,29.1,,35.1,
2019100000,2019年度,46000,鹿児島県,,"213,000",,"109,000",,"103,000",,"878,000",,"426,000",,"452,000",,"512,000",,"218,000",,"294,000",,13.3,,14.5,,12.2,,54.8,,56.5,,53.2,,32,,29,,34.6,
2019100000,2019年度,47000,沖縄県,,"245,000",,"125,000",,"120,000",,"886,000",,"445,000",,"441,000",,"322,000",,"145,000",,"177,000",,16.9,,17.5,,16.3,,60.9,,62.2,,59.7,,22.2,,20.3,,24,
2018100000,2018年度,0,全国,,"15,415,000",,"7,893,000",,"7,522,000",,"75,451,000",,"38,182,000",,"37,269,000",,"35,578,000",,"15,458,000",,"20,120,000",,12.2,,12.8,,11.6,,59.7,,62.1,,57.4,,28.1,,25.1,,31,
2018100000,2018年度,1000,北海道,,"577,000",,"295,000",,"282,000",,"3,052,000",,"1,502,000",,"1,551,000",,"1,656,000",,"692,000",,"964,000",,10.9,,11.9,,10.1,,57.7,,60.3,,55.4,,31.3,,27.8,,34.5,
2018100000,2018年度,2000,青森県,,"137,000",,"70,000",,"67,000",,"714,000",,"355,000",,"359,000",,"412,000",,"169,000",,"243,000",,10.8,,11.7,,10,,56.6,,59.8,,53.7,,32.6,,28.4,,36.3,
2018100000,2018年度,3000,岩手県,,"140,000",,"72,000",,"68,000",,"697,000",,"356,000",,"341,000",,"403,000",,"170,000",,"234,000",,11.3,,12,,10.6,,56.2,,59.6,,53,,32.5,,28.4,,36.3,
2018100000,2018年度,4000,宮城県,,"276,000",,"142,000",,"135,000",,"1,396,000",,"709,000",,"687,000",,"643,000",,"281,000",,"362,000",,11.9,,12.5,,11.4,,60.3,,62.7,,58,,27.8,,24.8,,30.6,
2018100000,2018年度,5000,秋田県,,"98,000",,"50,000",,"48,000",,"526,000",,"264,000",,"262,000",,"357,000",,"147,000",,"210,000",,10,,10.8,,9.2,,53.6,,57.2,,50.4,,36.4,,32,,40.4,
2018100000,2018年度,6000,山形県,,"127,000",,"65,000",,"62,000",,"605,000",,"307,000",,"299,000",,"358,000",,"154,000",,"204,000",,11.6,,12.3,,10.9,,55.5,,58.4,,52.9,,32.9,,29.3,,36.2,
