表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公開日：,2021/3/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
***,調査又は集計していないもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,データが得られないもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,数値が秘匿されているもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A1101,,A1201,,A1202,,A1203,,A1204,,A1205,,A1206,,A1207,,A1208,,A1209,,A1210,,A1211,,A1212,,A1213,,A1214,,A1215,,A1216,,A1217,,A1218,,A1219,,A1220,,A1221,
調査年 コード,調査年,year,prefecture_num,地域 コード,地域,/項目,A1101_総人口【人】,注釈,A1201_0～4歳人口【人】,注釈,A1202_5～9歳人口【人】,注釈,A1203_10～14歳人口【人】,注釈,A1204_15～19歳人口【人】,注釈,A1205_20～24歳人口【人】,注釈,A1206_25～29歳人口【人】,注釈,A1207_30～34歳人口【人】,注釈,A1208_35～39歳人口【人】,注釈,A1209_40～44歳人口【人】,注釈,A1210_45～49歳人口【人】,注釈,A1211_50～54歳人口【人】,注釈,A1212_55～59歳人口【人】,注釈,A1213_60～64歳人口【人】,注釈,A1214_65～69歳人口【人】,注釈,A1215_70～74歳人口【人】,注釈,A1216_75～79歳人口【人】,注釈,A1217_80～84歳人口【人】,注釈,A1218_85～89歳人口【人】,注釈,A1219_90～94歳人口【人】,注釈,A1220_95～99歳人口【人】,注釈,A1221_100歳以上人口【人】,注釈
2018100000,2018年度,2018,9,9000,栃木県,,"1,946,000",,"73,000",,"80,000",,"87,000",,"92,000",,"83,000",,"90,000",,"107,000",,"122,000",,"142,000",,"146,000",,"125,000",,"121,000",,"131,000",,"157,000",,"127,000",,"101,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,10,10000,群馬県,,"1,952,000",,"70,000",,"79,000",,"87,000",,"97,000",,"90,000",,"88,000",,"99,000",,"113,000",,"139,000",,"148,000",,"127,000",,"117,000",,"124,000",,"153,000",,"135,000",,"110,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,11,11000,埼玉県,,"7,330,000",,"279,000",,"299,000",,"312,000",,"343,000",,"405,000",,"381,000",,"407,000",,"458,000",,"552,000",,"608,000",,"508,000",,"428,000",,"415,000",,"524,000",,"488,000",,"411,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,12,12000,千葉県,,"6,255,000",,"233,000",,"251,000",,"264,000",,"289,000",,"323,000",,"310,000",,"344,000",,"387,000",,"465,000",,"513,000",,"428,000",,"367,000",,"361,000",,"460,000",,"430,000",,"358,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,13,13000,東京都,,"13,822,000",,"539,000",,"516,000",,"495,000",,"554,000",,"867,000",,"911,000",,"961,000",,"1,013,000",,"1,109,000",,"1,167,000",,"1,005,000",,"810,000",,"687,000",,"797,000",,"750,000",,"647,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,14,14000,神奈川県,,"9,177,000",,"351,000",,"374,000",,"385,000",,"423,000",,"518,000",,"490,000",,"529,000",,"592,000",,"706,000",,"788,000",,"679,000",,"551,000",,"486,000",,"599,000",,"558,000",,"479,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,15,15000,新潟県,,"2,246,000",,"78,000",,"88,000",,"94,000",,"103,000",,"92,000",,"94,000",,"111,000",,"127,000",,"152,000",,"154,000",,"141,000",,"141,000",,"155,000",,"190,000",,"151,000",,"129,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,16,16000,富山県,,"1,050,000",,"37,000",,"40,000",,"45,000",,"50,000",,"44,000",,"44,000",,"50,000",,"58,000",,"75,000",,"79,000",,"65,000",,"62,000",,"65,000",,"84,000",,"80,000",,"63,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,17,17000,石川県,,"1,143,000",,"44,000",,"48,000",,"51,000",,"57,000",,"57,000",,"53,000",,"58,000",,"65,000",,"82,000",,"86,000",,"71,000",,"68,000",,"70,000",,"86,000",,"80,000",,"63,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,18,18000,福井県,,"774,000",,"30,000",,"33,000",,"36,000",,"39,000",,"33,000",,"34,000",,"39,000",,"43,000",,"52,000",,"54,000",,"48,000",,"49,000",,"50,000",,"62,000",,"50,000",,"43,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,19,19000,山梨県,,"817,000",,"29,000",,"32,000",,"36,000",,"41,000",,"38,000",,"35,000",,"39,000",,"44,000",,"53,000",,"60,000",,"56,000",,"53,000",,"54,000",,"64,000",,"54,000",,"47,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,20,20000,長野県,,"2,063,000",,"76,000",,"85,000",,"94,000",,"101,000",,"79,000",,"83,000",,"98,000",,"114,000",,"143,000",,"150,000",,"133,000",,"127,000",,"130,000",,"159,000",,"142,000",,"122,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,21,21000,岐阜県,,"1,997,000",,"75,000",,"86,000",,"92,000",,"101,000",,"92,000",,"86,000",,"98,000",,"112,000",,"139,000",,"148,000",,"128,000",,"122,000",,"123,000",,"155,000",,"139,000",,"116,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,22,22000,静岡県,,"3,659,000",,"137,000",,"155,000",,"164,000",,"175,000",,"150,000",,"162,000",,"193,000",,"214,000",,"256,000",,"276,000",,"241,000",,"225,000",,"230,000",,"284,000",,"251,000",,"212,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,23,23000,愛知県,,"7,537,000",,"319,000",,"339,000",,"344,000",,"374,000",,"420,000",,"414,000",,"451,000",,"484,000",,"567,000",,"610,000",,"507,000",,"434,000",,"397,000",,"492,000",,"461,000",,"387,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,24,24000,三重県,,"1,791,000",,"67,000",,"75,000",,"80,000",,"87,000",,"82,000",,"81,000",,"92,000",,"102,000",,"125,000",,"135,000",,"118,000",,"111,000",,"109,000",,"135,000",,"122,000",,"103,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,25,25000,滋賀県,,"1,412,000",,"61,000",,"67,000",,"69,000",,"74,000",,"74,000",,"71,000",,"79,000",,"88,000",,"105,000",,"108,000",,"89,000",,"83,000",,"81,000",,"100,000",,"85,000",,"69,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,26,26000,京都府,,"2,591,000",,"94,000",,"102,000",,"107,000",,"122,000",,"159,000",,"136,000",,"137,000",,"149,000",,"183,000",,"197,000",,"167,000",,"148,000",,"142,000",,"189,000",,"180,000",,"150,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,27,27000,大阪府,,"8,813,000",,"334,000",,"352,000",,"370,000",,"418,000",,"486,000",,"461,000",,"489,000",,"529,000",,"645,000",,"727,000",,"608,000",,"507,000",,"465,000",,"614,000",,"592,000",,"519,000",,***,,***,,***,,***,,***,
