date, pm25, pm10, o3, no2, so2
2020/8/6, 69, 43, 13, 2, 1
2020/8/7, 86, 18, 11, 1, 
2020/8/8, 43, 17, 11, 1, 2
2020/8/9, 42, 33, 12, 1, 1
2020/8/10, 37, 30, 14, 1, 
2020/8/11, 36, 19, 11, 1, 1
2020/8/12, 40, 16, 11, 1, 1
2020/8/13, 35, 11, 11, 1, 
2020/8/14, 30, 9, 12, 1, 1
2020/8/15, 24, 16, 21, 2, 1
2020/8/16, 41, 21, 20, 4, 1
2020/8/17, 59, 22, 25, 4, 1
2020/8/18, 60, 36, 49, 6, 1
2020/8/19, 83, 40, 42, 7, 1
2020/8/20, 88, 44, 44, 6, 1
2020/8/21, 93, , , , 1
2020/9/13, 17, 9, , 1, 
2020/9/14, 27, 12, , 1, 1
2020/9/15, 37, 14, , 1, 
2020/9/16, 38, 10, , 1, 
2020/9/17, 24, 9, , 1, 
2020/9/18, 26, 13, , 1, 
2020/9/19, 41, , , , 
2020/4/1, 45, 17, 45, 8, 1
2020/4/2, 56, 15, 52, 11, 1
2020/4/3, 57, 25, 79, 10, 1
2020/4/4, 67, 14, 48, 3, 1
2020/4/5, 47, 13, 53, 8, 6
2020/4/6, 51, 18, 71, 9, 2
2020/4/7, 59, 26, 69, 13, 1
2020/4/8, 68, 17, 58, 11, 1
2020/4/9, 57, 18, 65, 8, 1
2020/4/10, 64, 16, 62, 6, 
2020/4/11, 54, 12, 50, 4, 1
2020/4/12, 39, 12, 49, 4, 
2020/4/13, 45, 14, 54, 9, 1
2020/4/14, 39, 13, 57, 10, 1
2020/4/15, 44, 18, 56, 9, 1
2020/4/16, 50, 23, 52, 4, 1
2020/4/17, 65, 32, 71, 7, 1
2020/4/18, 71, 18, 48, 2, 1
2020/4/19, 51, 11, 61, 7, 1
2020/4/20, 40, 17, 57, 7, 1
2020/4/21, 44, 19, 45, 7, 
2020/4/22, 43, 20, 41, 6, 1
2020/4/23, 46, 15, 43, 8, 1
2020/4/24, 48, 20, 99, 7, 
2020/4/25, 58, 26, 89, 5, 
2020/4/26, 70, 16, 52, 8, 1
2020/4/27, 59, 18, 57, 8, 1
2020/4/28, 54, 13, 56, 7, 1
2020/4/29, 47, 13, 50, 8, 1
2020/4/30, 49, 24, 39, 5, 2
2020/5/1, 75, 25, 37, 2, 6
2020/5/2, 78, 18, 29, 2, 5
2020/5/3, 58, 23, 51, 4, 1
2020/5/4, 66, 21, 39, 3, 
2020/5/5, 67, 20, 38, 2, 1
2020/5/6, 69, 11, 42, 4, 1
2020/5/7, 44, 13, 42, 4, 2
2020/5/8, 48, 14, 39, 2, 2
2020/5/9, 46, 11, 42, 2, 
2020/5/10, 41, 21, 57, 6, 1
2020/5/11, 64, 28, 61, 6, 1
2020/5/12, 82, 16, 50, 6, 1
2020/5/13, 51, 18, 46, 8, 11
2020/5/14, 52, 19, 42, 3, 2
2020/5/15, 53, 10, 32, 5, 1
2020/5/16, 32, 16, 52, 4, 1
2020/5/17, 56, 10, 36, 8, 1
2020/5/18, 35, 22, 53, 4, 
2020/5/19, 56, 15, 50, 6, 1
2020/5/20, 49, 11, 42, 4, 
2020/5/21, 44, 18, 41, 5, 10
2020/5/22, 54, 21, 45, 7, 2
2020/5/23, 67, 21, 44, 5, 2
2020/5/24, 67, 19, 33, 6, 1
2020/5/25, 64, 18, 32, 7, 1
2020/5/26, 56, 24, 72, 8, 1
2020/5/27, 65, 19, 55, 5, 1
2020/5/28, 67, 20, 55, 8, 1
2020/5/29, 64, 30, 51, 6, 3
2020/5/30, 84, 18, 43, 2, 1
