date, pm25, pm10, o3, no2, so2
2019/11/16, 41, 7, 32, 3, 
2019/11/17, 35, 12, 28, 10, 2
2019/11/18, 48, 10, 33, 5, 1
2019/11/19, 42, 4, 28, 3, 
2019/11/20, 28, 5, 29, 5, 1
2019/11/21, 34, 7, 19, 6, 
2019/11/22, 33, 4, 29, 2, 
2019/11/23, 19, 3, 20, 4, 
2019/11/24, 26, 9, 26, 4, 2
2019/11/25, 37, 6, 29, 5, 1
2019/11/26, 20, 7, 20, 5, 1
2019/11/27, 34, 5, 27, 3, 1
2019/11/28, 23, 4, 29, 7, 1
2019/11/29, 29, 8, 31, 9, 
2019/11/30, 39, 17, 30, 8, 1
2019/12/1, 57, 20, 13, 13, 1
2019/12/2, 62, 4, 29, 5, 1
2019/12/3, 37, 6, 31, 7, 1
2019/12/4, 45, 4, 30, 4, 2
2019/12/5, 49, 4, 26, 4, 1
2019/12/6, 23, 9, 21, 6, 
2019/12/7, 37, 10, 30, 5, 
2019/12/8, 48, 8, 25, 6, 1
2019/12/9, 42, 7, 26, 7, 
2019/12/10, 42, 14, 18, 9, 1
2019/12/11, 43, 10, 28, 6, 1
2019/12/12, 48, 12, 21, 11, 1
2019/12/13, 45, 17, 25, 9, 2
2019/12/14, 49, 7, 28, 8, 1
2019/12/15, 30, 12, 26, 10, 1
2019/12/16, 42, 18, 14, 10, 1
2019/12/17, 61, 8, 27, 8, 1
2019/12/18, 37, 11, 23, 8, 1
2019/12/19, 30, 6, 27, 5, 
2019/12/20, 39, 6, 21, 4, 1
2019/12/21, 25, 7, 30, 4, 1
2019/12/22, 31, 5, 29, 8, 1
2019/12/23, 34, 5, 30, 7, 
2019/12/24, 27, 4, 22, 10, 1
2019/12/25, 17, 12, 31, 9, 1
2019/12/26, 49, 8, 31, 3, 
2019/12/27, 31, 5, 32, 7, 1
2019/12/28, 32, 7, 29, 8, 1
2019/12/29, 40, , , , 
2019/7/1, 31, 22, 47, 7, 1
2019/7/2, 55, 19, 38, 5, 2
2019/7/3, 49, 9, 51, 5, 1
2019/7/4, 19, 10, 47, 3, 1
2019/7/5, 32, 7, 33, 2, 1
2019/7/6, 27, 6, 39, 1, 
2019/7/7, 17, 6, 32, 2, 1
2019/7/8, 41, 8, 30, 3, 1
2019/7/9, 25, 8, 33, 3, 2
2019/7/10, 39, 8, 30, 3, 1
2019/7/11, 42, 10, 33, 3, 1
2019/7/12, 33, 12, 37, 4, 1
2019/7/13, 43, 11, 45, 3, 1
2019/7/14, 19, 7, 23, 1, 1
2019/7/15, 24, 11, 20, 3, 2
2019/7/16, 35, 8, 30, 4, 1
2019/7/17, 43, 19, 30, 5, 1
2019/7/18, 45, 14, 36, 5, 1
2019/7/19, 55, 11, 37, 3, 1
2019/7/20, 48, 9, 25, 4, 2
2019/7/21, 27, 7, 16, 6, 1
2019/7/22, 25, 20, 31, 7, 2
2019/7/23, 44, 9, 19, 4, 1
2019/7/24, 38, 24, 42, 5, 1
2019/7/25, 57, 19, 22, 4, 1
2019/7/26, 59, 11, 20, 1, 1
2019/7/27, 55, 18, 24, 2, 1
2019/7/28, 58, 34, 56, 6, 2
2019/7/29, 78, 28, 70, 5, 2
2019/7/30, 82, 30, 45, 5, 1
2019/7/31, 76, 37, 46, 6, 1
2019/8/1, 86, 37, 67, 5, 2
2019/8/2, 86, 20, 51, 5, 2
2019/8/3, 126, 15, 32, 4, 2
2019/8/4, 74, 13, 17, 3, 3
2019/8/5, 98, 12, 59, 5, 1
2019/8/6, 101, 19, 53, 6, 2
2019/8/7, 99, 21, 65, 8, 2
2019/8/8, 79, 18, 71, 7, 2
2019/8/9, 100, 15, 34, 6, 2
2019/8/10, 69, 18, 33, 3, 2
2019/8/11, 48, 16, 22, 3, 2
2019/8/12, 61, 16, 16, 2, 2
2019/8/13, 78, 20, 19, 4, 1
2019/8/14, 35, 26, 17, 2, 
2019/8/15, 55, 34, 37, 2, 1
2019/8/16, 57, 34, 56, 4, 1
2019/8/17, 79, 22, 43, 3, 2
2019/8/18, 66, 20, 38, 2, 1
2019/8/19, 51, 11, 26, 3, 1
2019/8/20, 33, 12, 36, 4, 1
2019/8/21, 48, 14, 33, 5, 1
2019/8/22, 44, 20, 20, 6, 1
2019/8/23, 46, 15, 45, 3, 1
2019/8/24, 49, 16, 46, 2, 1
2019/8/25, 66, 12, 39, 3, 1
2019/8/26, 54, 13, 37, 3, 1
2019/8/27, 41, 19, 30, 6, 1
2019/8/28, 44, 18, 49, 5, 1
2019/8/29, 70, 18, 13, 8, 1
2019/8/30, 39, 14, 42, 4, 2
2019/8/31, 39, 17, 43, 3, 1
2019/9/1, 51, 18, 40, 5, 2
2019/9/2, 56, 11, 35, 5, 2
2019/9/3, 34, 10, 38, 4, 1
2019/9/4, 35, 13, 34, 5, 1
2019/9/5, 49, 19, 40, 5, 1
2019/9/6, 68, 11, 17, 3, 1
2019/9/7, 84, 18, 12, 2, 1
2019/9/8, 56, 17, 14, 3, 
2019/9/9, 46, 14, 32, 3, 1
2019/9/10, 103, 19, 37, 5, 1
2019/9/11, 71, 4, 38, 2, 1
2019/9/12, 55, 8, 26, 5, 1
2019/9/13, 25, 10, 30, 3, 1
2019/9/14, 43, 10, 29, 2, 2
2019/9/15, 65, 7, 16, 2, 1
2019/9/16, 27, 15, 30, 4, 1
2019/9/17, 44, 10, 31, 5, 1
2019/9/18, 38, 10, 34, 4, 1
2019/9/19, 48, 14, 35, 5, 1
2019/9/20, 50, 10, 34, 4, 1
2019/9/21, 33, 10, 33, 2, 1
2019/9/22, 61, 13, 24, 3, 1
2019/9/23, 46, 8, 29, 4, 1
2019/9/24, 52, 8, 36, 4, 1
2019/9/25, 50, 9, 35, 4, 1
2019/9/26, 46, 13, 47, 5, 2
2019/9/27, 62, 21, 35, 6, 2
2019/9/28, 50, 20, 37, 4, 1
2019/9/29, 55, 13, 32, 4, 1
2019/9/30, 42, 19, 36, 4, 1
2019/4/1, 41, 9, 40, 4, 1
2019/4/2, 36, 10, 40, 9, 1
2019/4/3, 36, 10, 48, 9, 1
2019/4/4, 46, 17, 51, 10, 2
2019/4/5, 55, 12, 48, 4, 
2019/4/6, 42, 15, 47, 4, 
2019/4/7, 42, 11, 41, 4, 1
2019/4/8, 21, 8, 39, 4, 
2019/4/9, 29, 8, 33, 7, 1
2019/4/10, 19, 3, 38, 3, 1
2019/4/11, 30, 8, 41, 5, 1
2019/4/12, 34, 10, 46, 4, 1
2019/4/13, 41, 13, 50, 5, 2
2019/4/14, 47, 9, 49, 3, 
2019/4/15, 29, 8, 56, 6, 2
2019/4/16, 45, 14, 55, 8, 2
2019/4/17, 38, 10, 49, 5, 1
2019/4/18, 42, 15, 65, 6, 1
2019/4/19, 47, 12, 43, 4, 1
2019/4/20, 32, 11, 41, 6, 2
2019/4/21, 39, 18, 56, 5, 2
2019/4/22, 56, 14, 53, 5, 1
2019/4/23, 48, 20, 34, 6, 1
2019/4/24, 51, 11, 36, 4, 
2019/4/25, 45, 6, 38, 5, 1
2019/4/26, 11, 5, 35, 5, 
2019/4/27, 24, 5, 40, 3, 
2019/4/28, 40, 6, 43, 3, 
2019/4/29, 37, 8, 40, 3, 
2019/4/30, 24, 5, 37, 3, 1
2019/5/1, 42, 9, 39, 5, 2
2019/5/2, 34, 11, 51, 3, 1
2019/5/3, 45, 13, 53, 3, 2
2019/5/4, 39, 14, 52, 3, 2
2019/5/5, 44, 10, 47, 2, 2
2019/5/6, 51, 6, 46, 4, 2
2019/5/7, 35, 9, 51, 6, 2
2019/5/8, 61, 11, 49, 7, 1
2019/5/9, 45, 16, 71, 6, 2
2019/5/10, 60, 18, 78, 6, 2
2019/5/11, 54, 7, 38, 2, 2
2019/5/12, 26, 7, 38, 4, 2
2019/5/13, 34, 11, 43, 7, 2
2019/5/14, 40, 14, 46, 6, 1
2019/5/15, 40, 11, 45, 6, 1
2019/5/16, 39, 9, 42, 4, 1
2019/5/17, 55, 8, 44, 3, 1
2019/5/18, 38, 10, 47, 3, 1
2019/5/19, 42, 12, 44, 3, 
2019/5/20, 41, 9, 38, 2, 
2019/5/21, 25, 12, 43, 5, 2
2019/5/22, 45, 11, 47, 5, 2
2019/5/23, 53, 16, 96, 6, 2
2019/5/24, 81, 27, 110, 8, 3
2019/5/25, 85, 27, 87, 6, 2
2019/5/26, 90, 35, 95, 9, 3
2019/5/27, 87, 22, 48, 10, 2
2019/5/28, 70, 6, 41, 4, 1
2019/5/29, 22, 8, 45, 4, 2
2019/5/30, 51, 10, 42, 5, 1
2019/5/31, 37, 13, 60, 3, 1
2019/6/1, 45, 18, 49, 5, 2
2019/6/2, 54, 17, 44, 4, 
2019/6/3, 67, 10, 45, 3, 1
2019/6/4, 61, 9, 57, 5, 1
2019/6/5, 49, 15, 66, 6, 2
2019/6/6, 60, 18, 47, 8, 2
2019/6/7, 51, 11, 43, 4, 1
2019/6/8, 39, 7, 37, 2, 1
2019/6/9, 26, 6, 32, 3, 
