date, pm25, pm10, o3, no2, so2
2020/4/19, 46, 6, 46, 1, 1
2020/4/20, 23, 14, 43, 2, 1
2020/4/21, 53, 10, 41, , 1
2020/4/22, 44, 13, 37, 1, 1
2020/4/23, 49, 10, 42, 1, 1
2020/4/24, 44, 14, 69, 1, 1
2020/4/25, 54, 19, 61, 1, 
2020/4/26, 66, 14, 50, 1, 1
2020/4/27, 54, 12, 50, 1, 1
2020/4/28, 52, 11, 51, 1, 1
2020/4/29, 48, 11, 50, 1, 1
2020/4/30, 49, 20, 42, 1, 1
2020/5/1, 71, 21, 43, 1, 7
2020/5/2, 74, 12, 26, 1, 
2020/5/3, 47, 13, 42, 1, 1
2020/5/4, 50, 9, 39, 1, 1
2020/5/5, 39, 13, 36, 1, 
2020/5/6, 47, 8, 39, 1, 1
2020/5/7, 35, 10, 46, 1, 11
2020/5/8, 40, 11, 32, 1, 4
2020/5/9, 43, 7, 36, 1, 
2020/5/10, 27, 11, 44, 1, 1
2020/5/11, 49, 14, 47, 1, 1
2020/5/12, 55, 10, 42, 1, 1
2020/5/13, 41, 10, 45, 1, 4
2020/5/14, 45, 15, 30, 2, 1
2020/5/15, 51, 6, 32, 1, 
2020/5/16, 21, 12, 43, 1, 1
2020/5/17, 48, 7, 30, 1, 
2020/5/18, 24, 14, 45, 1, 1
2020/5/19, 49, 8, 41, 1, 1
2020/5/20, 30, 6, 34, 1, 
2020/5/21, 26, 16, 42, 1, 11
2020/5/22, 40, 22, 45, 2, 3
2020/5/23, 70, 16, 38, 1, 6
2020/5/24, 56, 18, 29, 1, 1
2020/5/25, 59, 13, 27, 1, 1
2020/5/26, 45, 20, 64, 1, 1
2020/5/27, 62, 12, 44, 1, 1
2020/5/28, 47, 17, 58, 1, 1
2020/5/29, 61, 28, 50, 1, 5
2020/5/30, 84, 19, 33, 1, 3
2020/5/31, 62, 12, 26, 1, 1
2020/6/1, 42, 15, 48, 1, 1
2020/6/2, 52, 18, 33, 2, 
2020/6/3, 56, 13, 44, 1, 1
2020/6/4, 43, 18, 41, 1, 1
2020/6/5, 54, 19, 34, 1, 1
2020/6/6, 60, 13, 42, 1, 
2020/6/7, 43, 21, 65, 1, 2
2020/6/8, 63, 22, 39, 1, 5
2020/6/9, 68, 10, 38, 1, 1
2020/6/10, 37, 4, 19, 1, 1
2020/6/11, 10, 8, 26, 1, 
2020/6/12, 20, 7, 15, 1, 
2020/6/13, 15, 7, 17, 1, 
2020/6/14, 16, 14, 40, 1, 1
2020/6/15, 46, 14, 45, 1, 1
2020/6/16, 49, 14, 44, 1, 
2020/6/17, 52, 11, 36, 1, 
2020/6/18, 33, 5, 37, 1, 
2020/6/19, 16, 10, 35, 1, 1
2020/6/20, 36, 13, 30, 1, 1
2020/6/21, 47, 12, 42, 1, 3
2020/6/22, 43, 20, 51, 1, 2
2020/6/23, 64, 19, 42, 1, 1
2020/6/24, 60, 10, 26, 1, 1
2020/6/25, 28, 11, 38, 1, 
2020/6/26, 38, 9, 25, 1, 
2020/6/27, 24, 14, 49, 1, 1
2020/6/28, 43, 25, 38, 1, 1
2020/6/29, 71, 8, 36, 1, 
2020/6/30, 28, 8, 34, 1, 
2020/1/1, 24, , 26, 1, 
2020/1/2, 48, , 33, 1, 1
2020/1/3, 66, , 32, 2, 
2020/1/4, 48, , 29, 2, 1
2020/1/5, 48, , 17, 3, 4
2020/1/6, 40, , 28, 2, 2
2020/1/7, 41, , 31, 1, 1
2020/1/8, 46, , 32, 1, 
2020/1/9, 59, , 31, 2, 1
2020/1/10, 52, , 29, 2, 1
2020/1/11, 31, , 31, 1, 1
2020/1/12, 38, , 31, 1, 1
2020/1/13, 42, , 29, 1, 
2020/1/14, 42, , 26, 2, 1
2020/1/15, 55, , 21, 2, 
2020/1/16, 45, , 29, 3, 
2020/1/17, 37, , 24, 4, 1
2020/1/18, 25, , 32, 1, 
2020/1/19, 52, , 36, 2, 1
2020/1/20, 85, , 30, 3, 1
2020/1/21, 55, , 26, 3, 2
2020/1/22, 52, , 27, 2, 1
2020/1/23, 20, , 31, 2, 1
2020/1/24, 30, , 28, 5, 1
2020/1/25, 40, , 30, 2, 1
2020/1/26, 23, , 25, 3, 
2020/1/27, 15, , 31, 1, 
2020/1/28, 11, , 29, 1, 1
2020/1/29, 22, , 30, 2, 1
2020/1/30, 23, , 29, 1, 
2020/1/31, 22, , 33, 1, 1
2020/2/1, 44, 31, 32, 2, 1
2020/2/2, 80, 23, 41, 3, 1
2020/2/3, 69, 16, 32, 2, 
2020/2/4, 50, 16, 36, 2, 
2020/2/5, 55, 7, 31, 2, 1
2020/2/6, 29, 8, 23, 4, 1
2020/2/7, 34, 15, 35, 1, 
2020/2/8, 60, 18, 28, 2, 
2020/2/9, 51, , 41, 2, 1
2020/2/10, 100, , 34, 3, 
2020/2/11, 89, , 30, 4, 4
2020/2/12, 50, , 28, 1, 1
2020/2/13, 39, , 24, 1, 
2020/2/14, 38, , 21, 1, 2
2020/2/15, 41, , 31, 1, 
2020/2/16, 31, , 30, 1, 
