date, pm25, pm10, o3, no2, so2
2020/8/30, 60, 24, 48, 6, 4
2020/8/31, 46, 21, 37, 6, 5
2020/9/1, 41, 14, 19, 5, 2
2020/9/2, 35, 27, 23, 6, 2
2020/9/3, 49, 23, 26, 7, 3
2020/9/4, 47, 21, 40, 5, 4
2020/9/5, 48, 14, 21, 3, 3
2020/9/6, 33, 26, 20, 2, 
2020/9/7, 47, , , , 
2020/9/13, 33, 11, 34, 3, 2
2020/9/14, 31, 12, 46, 4, 2
2020/9/15, 40, 16, 34, 9, 1
2020/9/16, 45, 18, 21, 7, 3
2020/9/17, 46, 25, 27, 5, 6
2020/9/18, 51, 13, 43, 2, 1
2020/9/19, 43, 18, 41, 4, 2
2020/9/20, 53, 17, 47, 2, 1
2020/9/21, 53, 14, 47, 3, 1
2020/9/22, 51, 15, 42, 5, 1
2020/9/23, 43, 23, 36, 7, 2
2020/9/24, 60, 9, 25, 6, 1
2020/9/25, 23, 11, 29, 5, 1
2020/9/26, 28, 7, 34, 2, 1
2020/9/27, 21, 10, 33, 4, 2
2020/9/28, 33, 16, 54, 7, 2
2020/9/29, 45, 17, 36, 6, 1
2020/9/30, 49, 10, 38, 4, 1
2020/4/1, 36, 16, 44, 5, 4
2020/4/2, 50, 19, 37, 13, 6
2020/4/3, 61, 24, 45, 12, 7
2020/4/4, 68, 11, 40, 2, 1
2020/4/5, 38, 15, 46, 5, 1
2020/4/6, 53, 19, 49, 11, 6
2020/4/7, 61, 29, 62, 12, 6
2020/4/8, 76, 19, 56, 6, 4
2020/4/9, 62, 11, 39, 4, 2
2020/4/10, 39, 11, 44, 4, 2
2020/4/11, 43, 11, 37, 3, 1
2020/4/12, 37, 16, 38, 3, 4
2020/4/13, 38, 13, 41, 3, 1
2020/4/14, 43, 19, 40, 13, 6
2020/4/15, 56, 21, 55, 10, 3
2020/4/16, 64, 25, 64, 9, 4
2020/4/17, 69, 25, 54, 5, 5
2020/4/18, 59, 10, 46, 3, 3
2020/4/19, 38, 12, 49, 6, 3
2020/4/20, 37, 20, 54, 6, 6
2020/4/21, 57, 16, 42, 3, 8
2020/4/22, 48, 22, 41, 4, 9
2020/4/23, 56, 18, 46, 5, 6
2020/4/24, 57, 19, 52, 10, 7
2020/4/25, 63, 28, 75, 11, 10
2020/4/26, 76, 20, 48, 6, 3
2020/4/27, 62, 15, 50, 6, 3
2020/4/28, 57, 23, 61, 13, 7
2020/4/29, 71, 23, 49, 11, 5
2020/4/30, 68, 33, 38, 14, 11
2020/5/1, 91, 46, 39, 12, 13
2020/5/2, 116, 23, 37, 9, 5
2020/5/3, 67, 18, 32, 10, 4
2020/5/4, 54, 16, 45, 8, 5
2020/5/5, 54, 25, 38, 10, 6
2020/5/6, 70, 9, 43, 3, 3
2020/5/7, 38, 14, 44, 9, 8
2020/5/8, 50, 13, 40, 9, 5
2020/5/9, 51, 13, 30, 10, 3
2020/5/10, 41, 18, 47, 8, 5
2020/5/11, 55, 28, 41, 11, 6
2020/5/12, 72, 28, 57, 6, 6
2020/5/13, 71, 19, 53, 12, 7
2020/5/14, 61, 20, 44, 10, 6
2020/5/15, 59, 11, 35, 10, 1
2020/5/16, 32, 14, 41, 7, 2
